"","x"
"1",9.8498370837417
"2",8.70697994088456
"3",9.56412279802741
"4",7.77840851231313
"5",7.20697994088456
"6",8.77840851231313
"7",7.42126565517027
"8",6.06412279802742
"9",7.27840851231313
"10",6.27840851231313
"11",7.06412279802742
"12",6.99269422659884
"13",8.56412279802741
"14",8.8498370837417
"15",9.49269422659884
"16",8.8498370837417
"17",9.13555136945599
"18",7.92126565517027
"19",8.06412279802742
"20",5.70697994088456
"21",7.27840851231313
"22",8.06412279802741
"23",5.63555136945599
"24",5.49269422659884
"25",8.92126565517027
"26",8.49269422659884
"27",8.49269422659884
"28",8.13555136945599
"29",8.56412279802741
"30",8.20697994088456
"31",6.70697994088456
"32",7.49269422659884
"33",4.27840851231313
"34",4.63555136945599
"35",4.56412279802742
"36",5.63555136945599
"37",8.99269422659884
"38",8.06412279802742
"39",7.70697994088456
"40",7.3498370837417
"41",6.8498370837417
"42",5.49269422659884
"43",7.92126565517027
"44",7.49269422659884
"45",8.06412279802742
"46",7.20697994088456
"47",6.56412279802741
"48",4.27840851231313
"49",9.20697994088456
"50",9.56412279802742
"51",8.63555136945599
"52",8.49269422659884
"53",7.42126565517027
"54",8.42126565517027
"55",3.63555136945599
"56",6.77840851231313
"57",6.70697994088456
"58",5.49269422659884
"59",6.13555136945599
"60",6.56412279802742
"61",9.63555136945599
"62",9.20697994088456
"63",8.49269422659884
"64",7.99269422659884
"65",7.77840851231313
"66",8.27840851231313
"67",6.92126565517027
"68",8.20697994088456
"69",6.3498370837417
"70",7.42126565517027
"71",6.63555136945599
"72",7.3498370837417
"73",9.47452642480471
"74",9.260240710519
"75",8.66096522374429
"76",5.51810808088714
"77",7.77702019417974
"78",8.34111389828162
"79",8.08953665231572
"80",7.23239379517286
"81",7.69199676888972
"82",6.44667950945857
"83",7.30382236660143
"84",5.08953665231572
"85",5.98352710773769
"86",7.08953665231572
"87",7.16096522374429
"88",7.94667950945857
"89",7.66096522374429
"90",7.08953665231572
"91",6.56273447989402
"92",7.08953665231572
"93",6.91209853630912
"94",5.87525093803
"95",6.87124899899403
"96",6.33485391174686
"97",4.80382236660143
"98",5.58953665231571
"99",4.94667950945857
"100",7.08953665231572
"101",6.87525093803
"102",7.18881213909043
"103",7.83166928194757
"104",8.51810808088714
"105",7.30382236660143
"106",8.77702019417974
"107",8.12682818399591
"108",7.87525093803
"109",5.23239379517286
"110",5.62056819746114
"111",7.51810808088715
"112",6.37525093803
"113",7.01810808088715
"114",7.55495567916627
"115",7.37525093803
"116",6.37525093803
"117",3.94667950945857
"118",5.44667950945857
"119",5.51810808088714
"120",3.13416305132259
"121",4.51810808088714
"122",7.19781282202341
"123",7.16096522374429
"124",6.29982042756546
"125",6.83485391174686
"126",4.73239379517286
"127",5.80382236660143
"128",4.51810808088714
"129",6.73239379517286
"130",4.51810808088714
"131",8.33166928194757
"132",7.68881213909043
"133",8.16096522374429
"134",6.08953665231572
"135",7.6341630513226
"136",7.55539961256734
"137",7.08953665231572
"138",7.30382236660143
"139",5.04913962603257
"140",4.94667950945857
"141",4.94667950945857
"142",6.94667950945858
"143",7.26924139345198
"144",5.87525093803
"145",4.94667950945857
"146",4.58953665231572
"147",5.66096522374429
"148",4.58953665231572
"149",6.77702019417974
"150",4.58953665231572
"151",4.34066996488055
"152",2.87525093803
"153",4.79982042756546
"154",5.19199676888971
"155",2.16096522374429
"156",5.44667950945857
"157",7.44667950945857
"158",4.01810808088714
"159",1.80382236660143
"160",7.86612027682502
"161",8.08040599111074
"162",8.28235187140844
"163",8.86612027682502
"164",8.00897741968217
"165",3.9375488482536
"166",5.08040599111074
"167",7.65343540268651
"168",6.93754884825359
"169",7.15183456253931
"170",7.93333989252916
"171",7.58040599111074
"172",5.36612027682502
"173",5.85378044283701
"174",4.29048274967202
"175",6.18105465698641
"176",5.22326313396788
"177",7.08040599111074
"178",7.65183456253931
"179",4.72326313396788
"180",7.58040599111074
"181",5.72326313396788
"182",5.86612027682502
"183",6.22326313396788
"184",6.39534037127213
"185",5.72326313396788
"186",4.58040599111074
"187",3.08200683125794
"188",4.86612027682502
"189",8.50897741968217
"190",8.22326313396788
"191",7.71092329997987
"192",7.08040599111074
"193",4.86612027682502
"194",8.58040599111074
"195",6.29469170539645
"196",6.01057825982937
"197",7.22326313396788
"198",6.4375488482536
"199",6.14762560681487
"200",4.9375488482536
"201",7.22326313396788
"202",5.49663758569416
"203",8.0761970353863
"204",4.60962608555784
"205",6.29469170539645
"206",6.36612027682502
"207",5.4375488482536
"208",6.15183456253931
"209",3.4375488482536
"210",5.4375488482536
"211",5.86612027682502
"212",2.72326313396788
"213",7.32391179984356
"214",4.50897741968217
"215",3.50897741968217
"216",4.08200683125794
"217",4.29469170539645
"218",8.36612027682502
"219",8.79469170539645
"220",7.6394947285513
"221",8.50897741968217
"222",7.29469170539645
"223",8.00897741968217
"224",6.29469170539645
"225",7.51057825982936
"226",6.58040599111074
"227",7.00897741968217
"228",5.5761970353863
"229",8.29469170539645
"230",7.15183456253931
"231",5.85378044283701
"232",7.64762560681487
"233",8.53819751412927
"234",7.22326313396788
"235",5.72326313396788
"236",7.50897741968217
"237",5.65183456253931
"238",4.29469170539645
"239",6.00897741968217
"240",4.72326313396788
"241",2.65183456253931
"242",6.60962608555784
"243",6.50897741968217
"244",4.4375488482536
"245",7.29629254554365
"246",6.4375488482536
"247",7.44696758429563
"248",7.37553901286705
"249",8.20483495466377
"250",6.91638804175863
"251",5.91912066894949
"252",6.99215008052525
"253",7.84769209752091
"254",7.06197781180663
"255",7.77205457036791
"256",7.48634028465362
"257",7.56197781180663
"258",6.6334063832352
"259",8.6334063832352
"260",7.86698498439105
"261",7.34769209752091
"262",6.70483495466377
"263",5.99054924037806
"264",4.6334063832352
"265",8.23268187000991
"266",8.23268187000991
"267",8.20483495466377
"268",8.4878166131872
"269",7.77626352609234
"270",6.49215008052525
"271",7.6334063832352
"272",7.41912066894949
"273",4.70062599893934
"274",6.34348314179648
"275",6.77626352609234
"276",7.1334063832352
"277",4.41912066894949
"278",7.65269927010534
"279",5.99054924037806
"280",7.99054924037806
"281",6.77626352609234
"282",6.34769209752091
"283",8.44696758429563
"284",7.5183961557242
"285",7.6334063832352
"286",4.98781661318721
"287",7.06197781180663
"288",8.34929293766811
"289",7.70483495466377
"290",7.34769209752091
"291",7.27205457036791
"292",5.48634028465362
"293",6.56197781180663
"294",7.06197781180663
"295",4.27626352609234
"296",4.72412784153391
"297",7.1334063832352
"298",5.84769209752092
"299",7.06197781180663
"300",6.06197781180663
"301",7.72006435519218
"302",6.14863578376361
"303",5.07720721233504
"304",7.29149292662076
"305",7.72006435519218
"306",7.29149292662076
"307",2.64863578376361
"308",4.50577864090647
"309",7.14863578376361
"310",7.14863578376361
"311",4.86292149804933
"312",5.37348394725319
"313",7.76469075419906
"314",6.00577864090647
"315",6.10584385748681
"316",3.17727242891538
"317",7.82834052489988
"318",3.86292149804933
"319",7.9343500694779
"320",8.64863578376361
"321",8.07720721233504
"322",7.86292149804933
"323",7.00577864090647
"324",6.9343500694779
