"Year","country_name","elo_score","num_matches","goals_for","goals_against"
"2018","Guyana",1192,384,465,666
"2018","Vanuatu",1191,175,309,394
"2018","Belize",1183,74,75,155
"2018","Liechtenstein",1180,172,74,493
"2018","Afghanistan",1139,108,109,235
"2018","Barbados",1135,297,382,468
"2018","Solomon Islands",1135,166,355,336
"2018","Papua New Guinea",1130,128,295,284
"2018","Grenada",1119,230,393,399
"2018","South Sudan",1114,23,12,46
"2018","Singapore",1113,669,896,1215
"2018","Malaysia",1105,813,1299,1207
"2018","Saint Vincent and the Grenadines",1105,288,451,518
"2018","Saint Lucia",1103,200,289,390
"2018","São Tomé and Príncipe",1103,45,32,119
"2018","India",1100,493,700,855
"2018","Mauritius",1099,276,376,451
"2018","Gibraltar",1097,33,30,105
"2018","Eritrea",1078,75,48,125
"2018","Myanmar",1056,457,776,735
"2018","Puerto Rico",1020,151,141,424
"2018","Somaliland",1002,2,4,3
"2018","Western Sahara",996,1,0,6
"2018","Bonaire",991,69,72,183
"2018","Comoros",982,57,30,117
"2018","Greenland",963,20,33,42
"2018","Seychelles",958,123,106,243
"2018","Dominica",957,188,223,393
"2018","Andorra",956,139,38,386
"2018","Maldives",953,179,226,412
"2018","Cayman Islands",950,89,93,223
"2018","Pakistan",946,247,242,553
"2018","Aruba",918,164,240,369
"2018","Monaco",909,8,11,15
"2018","Bahamas",905,44,42,158
"2018","Nepal",900,216,190,523
"2018","Sint Maarten",887,34,42,77
"2018","San Marino",878,141,22,602
"2018","Saint Martin",867,40,55,104
"2018","Taiwan",852,278,392,658
"2018","Somalia",848,116,63,317
"2018","Guam",832,102,127,519
"2018","Cambodia",805,239,276,628
"2018","Laos",804,184,194,614
"2018","Bangladesh",803,246,228,470
"2018","Chagos Islands",798,2,3,4
"2018","Turks and Caicos Islands",763,19,14,70
"2018","Djibouti",753,79,51,317
"2018","Tuvalu",726,20,25,104
"2018","US Virgin Islands",722,44,23,212
"2018","Wallis and Futuna",701,24,23,109
"2018","Saint Barthélemy",695,2,1,11
"2018","Samoa",692,61,84,229
"2018","Sri Lanka",688,226,217,594
"2018","Cook Islands",687,47,44,247
"2018","Vatican",686,4,1,6
"2018","Macao",685,139,124,438
"2018","Saint Pierre and Miquelon",677,7,2,78
"2018","Mongolia",656,56,58,184
"2018","Montserrat",645,38,35,172
"2018","Tibet",631,9,7,35
"2018","Brunei",624,118,92,383
"2018","East Timor",615,52,49,167
"2018","Bhutan",609,79,50,294
"2018","British Virgin Islands",608,94,84,297
"2018","Falkland Islands",580,3,0,21
"2018","Federated States of Micronesia",565,8,8,64
"2018","Tonga",564,54,65,193
"2018","Anguilla",561,61,36,251
"2018","Kiribati",545,11,7,126
"2018","Niue",496,2,0,33
"2018","Eastern Samoa",464,46,28,304
"2018","Northern Mariana Islands",411,23,30,102
"2018","Palau",403,2,3,27
