"team","group_team","opp_team","group_opp_team","match_num_third_place","simulation"
"Spain","5","Croatia","1","1","186"
"England","8","France","6","1","187"
"Belgium","1","Croatia","3","1","188"
"Argentina","3","France","8","1","189"
"Uruguay","5","Argentina","5","1","190"
"Mexico","6","Croatia","1","1","191"
"Colombia","3","Croatia","3","1","192"
"Belgium","3","Italy","2","1","193"
"Croatia","6","United States","4","1","194"
"France","1","Mexico","6","1","195"
"Argentina","5","Portugal","2","1","196"
"Germany","1","Netherlands","7","1","197"
"Senegal","1","Portugal","7","1","198"
"Spain","8","Mexico","5","1","199"
"Mexico","4","Spain","2","1","200"
"Iran","5","Germany","4","1","201"
"Brazil","3","Italy","7","1","202"
"Spain","2","Uruguay","2","1","203"
"France","5","Croatia","8","1","204"
"Uruguay","6","France","4","1","205"
"Netherlands","5","Uruguay","4","1","206"
"Italy","1","Belgium","4","1","207"
"Germany","7","Spain","5","1","208"
"England","8","Mexico","3","1","209"
"Spain","6","Mexico","1","1","210"
"France","2","Colombia","7","1","211"
"Spain","1","France","6","1","212"
"Senegal","7","Wales","2","1","213"
"Netherlands","5","Argentina","6","1","214"
"Senegal","3","Uruguay","5","1","215"
"Germany","3","Argentina","6","1","216"
"Brazil","8","Mexico","7","1","217"
"Senegal","4","Italy","8","1","218"
"Senegal","2","Brazil","3","1","219"
"Japan","1","Mexico","5","1","220"
"Portugal","8","Croatia","8","1","221"
"Argentina","8","Spain","6","1","222"
"Mexico","8","Iran","7","1","223"
"Spain","8","Uruguay","5","1","224"
"Iran","2","Germany","5","1","225"
"Spain","8","Argentina","7","1","226"
"France","1","England","2","1","227"
"Poland","4","Netherlands","1","1","228"
"Netherlands","7","Spain","6","1","229"
"England","2","Australia","1","1","230"
"Brazil","1","Japan","3","1","231"
"Chile","4","Spain","4","1","232"
"Portugal","8","France","7","1","233"
"England","2","Spain","7","1","234"
"Italy","1","Japan","2","1","235"
"Colombia","5","England","1","1","236"
"Argentina","5","Uruguay","7","1","237"
"Chile","6","Mexico","1","1","238"
"Netherlands","4","Croatia","3","1","239"
"Iran","1","Denmark","4","1","240"
"Colombia","6","England","1","1","241"
"Portugal","2","Australia","1","1","242"
"Uruguay","1","Korea Republic","5","1","243"
"Portugal","6","Argentina","1","1","244"
"Tunisia","6","Switzerland","3","1","245"
"Germany","7","Netherlands","6","1","246"
"Belgium","2","Argentina","4","1","247"
"Spain","7","Germany","2","1","248"
"Germany","6","Wales","5","1","249"
"Japan","1","Iran","8","1","250"
"Australia","7","France","4","1","251"
"Senegal","7","Italy","2","1","252"
"Netherlands","1","Spain","8","1","253"
"Portugal","8","Belgium","8","1","254"
"Mexico","1","England","8","1","255"
"Germany","8","Netherlands","1","1","256"
"Netherlands","4","Italy","1","1","257"
"Mexico","5","Italy","4","1","258"
"Brazil","8","Japan","2","1","259"
"Germany","2","Colombia","5","1","260"
"Mexico","1","Belgium","1","1","261"
"Argentina","6","Australia","5","1","262"
"England","7","Belgium","4","1","263"
"Chile","1","Japan","3","1","264"
"Croatia","3","Brazil","4","1","265"
"Mexico","1","Portugal","7","1","266"
"Iran","3","Switzerland","6","1","267"
"England","6","Brazil","2","1","268"
"Netherlands","1","Portugal","5","1","269"
"Spain","8","France","5","1","270"
"Spain","2","France","8","1","271"
"Netherlands","6","Belgium","1","1","272"
"Uruguay","5","Brazil","8","1","273"
"Japan","5","Brazil","8","1","274"
"Korea Republic","4","Senegal","2","1","275"
"Italy","2","Korea Republic","5","1","276"
"Spain","2","Japan","3","1","277"
"Iran","8","Spain","4","1","278"
"Netherlands","6","Morocco","2","1","279"
"France","1","Brazil","4","1","280"
"Senegal","4","France","2","1","281"
"Argentina","5","Japan","1","1","282"
"England","3","Germany","2","1","283"
"Uruguay","3","Wales","1","1","284"
"England","2","Iran","7","1","285"
"Spain","7","Portugal","7","1","286"
"France","3","Netherlands","7","1","287"
"Australia","1","Croatia","2","1","288"
"Switzerland","5","Argentina","6","1","289"
"Iran","6","Wales","5","1","290"
"Portugal","3","Croatia","2","1","291"
"Belgium","6","Croatia","4","1","292"
"Italy","1","Argentina","5","1","293"
"England","6","France","4","1","294"
"Netherlands","2","France","2","1","295"
"Portugal","6","Spain","4","1","296"
"Germany","1","Colombia","2","1","297"
"Netherlands","2","Belgium","6","1","298"
"Australia","6","Italy","2","1","299"
"Argentina","1","Uruguay","1","1","300"
"France","8","Italy","4","1","301"
"United States","1","Iran","1","1","302"
"England","7","Uruguay","4","1","303"
"Portugal","5","Germany","7","1","304"
"United States","3","Iran","8","1","305"
"Portugal","4","Croatia","4","1","306"
"Japan","5","Denmark","1","1","307"
"Portugal","3","Colombia","7","1","308"
"Iran","2","Spain","1","1","309"
"Brazil","1","Tunisia","5","1","310"
"Spain","6","United States","2","1","311"
"Algeria","1","Spain","5","1","312"
"Belgium","5","Portugal","6","1","313"
"Mexico","7","Australia","7","1","314"
"Mexico","2","Australia","8","1","315"
"Chile","1","England","5","1","316"
"Brazil","4","Croatia","5","1","317"
"Italy","2","Germany","6","1","318"
"Spain","6","Portugal","3","1","319"
"Denmark","6","Croatia","4","1","320"
"Senegal","1","Colombia","4","1","321"
"Argentina","6","Chile","6","1","322"
"Germany","7","Brazil","4","1","323"
"Australia","6","Germany","2","1","324"
"Portugal","3","France","6","1","325"
"England","1","Brazil","7","1","326"
"Spain","3","Brazil","2","1","327"
"England","4","Nigeria","5","1","328"
"Netherlands","2","France","1","1","329"
"Spain","6","Switzerland","6","1","330"
"Denmark","4","Argentina","8","1","331"
"Denmark","5","Spain","4","1","332"
"Croatia","1","Germany","7","1","333"
"Brazil","3","Qatar","2","1","334"
"Croatia","3","Belgium","4","1","335"
"Mexico","1","Spain","2","1","336"
"Belgium","2","Algeria","8","1","337"
"Qatar","3","Algeria","7","1","338"
"Colombia","7","France","1","1","339"
"Uruguay","1","Spain","7","1","340"
"France","4","Argentina","5","1","341"
"Argentina","4","Croatia","5","1","342"
"Iran","1","Netherlands","7","1","343"
"Brazil","2","Portugal","1","1","344"
"Chile","6","Spain","3","1","345"
"Brazil","4","Spain","3","1","346"
"Uruguay","8","France","1","1","347"
"Uruguay","1","England","7","1","348"
"Korea Republic","1","Brazil","2","1","349"
"Netherlands","1","Brazil","7","1","350"
"England","4","Spain","5","1","351"
"Belgium","1","Portugal","3","1","352"
"Argentina","3","Korea Republic","5","1","353"
"France","1","England","5","1","354"
"England","1","Germany","8","1","355"
"Germany","4","Croatia","4","1","356"
"Belgium","5","Brazil","3","1","357"
"England","5","Spain","4","1","358"
"Italy","4","Belgium","2","1","359"
"France","7","Mexico","1","1","360"
"Netherlands","3","Portugal","4","1","361"
"Colombia","4","Belgium","1","1","362"
"Croatia","1","Spain","8","1","363"
"Portugal","1","Brazil","8","1","364"
"Portugal","5","United States","4","1","365"
"England","6","Argentina","1","1","366"
"Colombia","2","Mexico","8","1","367"
"Belgium","7","Argentina","5","1","368"
"Italy","3","England","1","1","369"
"Italy","6","Poland","8","1","370"
"France","8","Germany","1","1","371"
"Iran","7","England","4","1","372"
"Brazil","1","Netherlands","2","1","373"
"Colombia","5","Brazil","8","1","374"
"Spain","2","France","4","1","375"
"France","4","Belgium","6","1","376"
"Argentina","4","Poland","6","1","377"
"Germany","1","Brazil","7","1","378"
"Wales","4","France","1","1","379"
"Germany","2","Spain","8","1","380"
"Uruguay","8","Mexico","7","1","381"
"Mexico","4","Uruguay","2","1","382"
"Brazil","2","Argentina","3","1","383"
"France","3","Mexico","7","1","384"
"Switzerland","4","Mexico","3","1","385"
"Netherlands","5","England","6","1","386"
"Italy","1","Spain","8","1","387"
"Australia","8","Denmark","8","1","388"
"Germany","7","Argentina","1","1","389"
"Chile","3","Argentina","1","1","390"
"Mexico","7","Wales","3","1","391"
"Korea Republic","1","Mexico","1","1","392"
"Portugal","6","Australia","4","1","393"
"Brazil","8","Mexico","8","1","394"
"Korea Republic","4","Belgium","5","1","395"
"Germany","6","Argentina","4","1","396"
"Brazil","3","Costa Rica","5","1","397"
"Japan","8","Germany","4","1","398"
"Iran","7","Italy","6","1","399"
"Germany","8","Argentina","2","1","400"
"Portugal","1","Netherlands","4","1","401"
"Poland","2","Nigeria","7","1","402"
"Netherlands","1","Mexico","5","1","403"
"Colombia","1","Portugal","7","1","404"
"England","5","Germany","6","1","405"
"Brazil","8","Spain","2","1","406"
"Mexico","6","Argentina","6","1","407"
"Italy","5","England","3","1","408"
"Spain","8","Qatar","1","1","409"
"Japan","5","Argentina","5","1","410"
"France","5","Argentina","6","1","411"
"Argentina","4","France","1","1","412"
"England","4","Spain","3","1","413"
"Germany","2","Brazil","5","1","414"
"Costa Rica","7","Brazil","7","1","415"
"France","2","Portugal","1","1","416"
"Denmark","8","Uruguay","8","1","417"
"Croatia","6","Belgium","2","1","418"
"Mexico","8","Brazil","5","1","419"
"Italy","7","Jamaica","6","1","420"
"Portugal","1","Germany","7","1","421"
"France","1","Spain","6","1","422"
"Brazil","6","Japan","6","1","423"
"Portugal","7","Brazil","4","1","424"
"Belgium","7","Denmark","4","1","425"
"Poland","1","Netherlands","5","1","426"
"Germany","7","Belgium","2","1","427"
"Denmark","8","Algeria","6","1","428"
"Portugal","5","Denmark","5","1","429"
"Argentina","6","Poland","1","1","430"
"Germany","2","France","3","1","431"
"Brazil","7","Switzerland","5","1","432"
"Belgium","3","Croatia","7","1","433"
"Poland","6","Denmark","2","1","434"
"Senegal","6","France","8","1","435"
"Brazil","2","Spain","8","1","436"
"Belgium","4","Australia","4","1","437"
"Argentina","1","Mexico","1","1","438"
"Mexico","6","Spain","6","1","439"
"Spain","5","Belgium","1","1","440"
"France","1","Netherlands","4","1","441"
"Spain","2","France","1","1","442"
"Portugal","4","Spain","3","1","443"
"Chile","7","Portugal","1","1","444"
"Argentina","8","Spain","7","1","445"
"Netherlands","1","England","4","1","446"
"Denmark","6","Portugal","7","1","447"
"Wales","1","Italy","6","1","448"
"Croatia","3","Wales","3","1","449"
"Denmark","3","Portugal","1","1","450"
"Belgium","8","Germany","5","1","451"
"Croatia","7","Portugal","5","1","452"
"Denmark","8","Brazil","6","1","453"
"Poland","8","England","4","1","454"
"Germany","3","Netherlands","1","1","455"
"Mexico","1","England","8","1","456"
"England","1","Senegal","8","1","457"
"France","2","Argentina","3","1","458"
"Belgium","6","England","4","1","459"
"United States","6","Korea Republic","1","1","460"
"Denmark","1","Colombia","5","1","461"
"France","6","Denmark","1","1","462"
"Germany","3","Argentina","6","1","463"
"Spain","4","Belgium","1","1","464"
"Chile","1","France","8","1","465"
"Belgium","8","Mexico","1","1","466"
"Korea Republic","5","England","3","1","467"
"Mexico","2","Italy","6","1","468"
"Wales","6","Netherlands","4","1","469"
"Costa Rica","3","Denmark","6","1","470"
"Iran","7","Colombia","8","1","471"
"Switzerland","1","Denmark","3","1","472"
"Spain","5","Mexico","4","1","473"
"Brazil","4","Poland","3","1","474"
"Croatia","3","Argentina","2","1","475"
"Spain","3","Brazil","7","1","476"
"Germany","7","Netherlands","1","1","477"
"Italy","6","Uruguay","5","1","478"
"Italy","1","Brazil","8","1","479"
"Korea Republic","5","Brazil","8","1","480"
"Croatia","5","Spain","2","1","481"
"Croatia","5","France","7","1","482"
"Argentina","5","Poland","7","1","483"
"Morocco","2","Japan","5","1","484"
"Switzerland","2","Belgium","5","1","485"
"Netherlands","5","Colombia","4","1","486"
"Italy","6","Argentina","8","1","487"
"France","5","Chile","6","1","488"
"Uruguay","2","France","5","1","489"
"Wales","7","Belgium","5","1","490"
"Uruguay","1","Netherlands","3","1","491"
"Uruguay","8","Croatia","7","1","492"
"Japan","7","England","8","1","493"
"Spain","3","Netherlands","6","1","494"
"England","8","Belgium","6","1","495"
"Argentina","8","Mexico","2","1","496"
"Brazil","5","Qatar","3","1","497"
"France","6","Netherlands","7","1","498"
"Chile","3","Denmark","1","1","499"
"Netherlands","8","Spain","2","1","500"
"Mexico","7","Portugal","7","1","501"
"Colombia","2","Chile","6","1","502"
"Spain","2","Germany","5","1","503"
"Belgium","7","Germany","5","1","504"
"Colombia","7","Portugal","3","1","505"
"England","1","Brazil","1","1","506"
"Denmark","2","Chile","5","1","507"
"Uruguay","8","Netherlands","6","1","508"
"Spain","7","Iran","6","1","509"
"Croatia","1","Portugal","8","1","510"
"Italy","2","Iran","6","1","511"
"Poland","3","Brazil","3","1","512"
"Colombia","1","Germany","3","1","513"
"Spain","2","Switzerland","2","1","514"
"Colombia","1","Netherlands","2","1","515"
"England","8","Switzerland","6","1","516"
"France","6","Mexico","3","1","517"
"Netherlands","1","Italy","7","1","518"
"Germany","4","Italy","8","1","519"
"Brazil","1","Portugal","7","1","520"
"France","3","Portugal","5","1","521"
"Portugal","5","Argentina","3","1","522"
"France","5","Korea Republic","5","1","523"
"England","4","Italy","1","1","524"
"Argentina","6","Brazil","3","1","525"
"France","2","Belgium","5","1","526"
"Belgium","6","Brazil","3","1","527"
"Brazil","8","Netherlands","5","1","528"
"Croatia","3","United States","1","1","529"
"France","1","Germany","1","1","530"
"Poland","8","Portugal","6","1","531"
"Spain","3","France","5","1","532"
"Korea Republic","4","France","4","1","533"
"Argentina","4","England","8","1","534"
"Italy","6","Brazil","8","1","535"
"Spain","1","Portugal","1","1","536"
"Brazil","1","Belgium","6","1","537"
"Netherlands","6","Spain","4","1","538"
"Belgium","2","Italy","4","1","539"
"Italy","3","Mexico","5","1","540"
"Australia","1","Morocco","3","1","541"
"Spain","5","Switzerland","4","1","542"
"Denmark","8","Portugal","1","1","543"
"Germany","6","Denmark","4","1","544"
"Argentina","1","Senegal","2","1","545"
"France","1","Belgium","8","1","546"
"Netherlands","7","Germany","8","1","547"
"Brazil","6","Spain","1","1","548"
"Spain","6","Italy","5","1","549"
"Belgium","1","Argentina","7","1","550"
"Spain","8","Wales","1","1","551"
"Belgium","3","Denmark","7","1","552"
"Senegal","6","Switzerland","6","1","553"
"France","2","United States","3","1","554"
"Morocco","3","Colombia","4","1","555"
"Brazil","8","Netherlands","1","1","556"
"England","2","Korea Republic","4","1","557"
"Denmark","4","England","4","1","558"
"Tunisia","2","Italy","4","1","559"
"Japan","2","Brazil","8","1","560"
"Uruguay","1","Denmark","1","1","561"
"Uruguay","1","France","2","1","562"
"Belgium","5","France","4","1","563"
"Colombia","8","France","8","1","564"
"Iran","7","Colombia","2","1","565"
"Poland","4","Iran","8","1","566"
"Brazil","6","Argentina","2","1","567"
"Netherlands","1","Argentina","6","1","568"
"Brazil","6","Colombia","2","1","569"
"Croatia","4","Argentina","5","1","570"
"Denmark","2","Argentina","5","1","571"
"Wales","4","Denmark","7","1","572"
"France","3","Chile","6","1","573"
"Uruguay","5","Brazil","5","1","574"
"Germany","3","Belgium","1","1","575"
"Brazil","5","Colombia","3","1","576"
"France","1","Brazil","3","1","577"
"Mexico","7","Argentina","3","1","578"
"Netherlands","1","Australia","1","1","579"
"Germany","3","Croatia","1","1","580"
"Netherlands","1","Argentina","1","1","581"
"England","4","Colombia","1","1","582"
"Portugal","6","Mexico","1","1","583"
"Denmark","5","Uruguay","8","1","584"
"Germany","5","England","6","1","585"
"Belgium","8","France","7","1","586"
"Brazil","5","Spain","1","1","587"
"Italy","6","Qatar","2","1","588"
"Tunisia","4","Argentina","7","1","589"
"Argentina","8","Portugal","4","1","590"
"Chile","3","Korea Republic","1","1","591"
"Belgium","7","Qatar","1","1","592"
"Uruguay","2","England","4","1","593"
"Portugal","7","Italy","7","1","594"
"Belgium","1","France","1","1","595"
"Spain","6","Mexico","4","1","596"
"Italy","2","Iran","6","1","597"
"Chile","8","Poland","3","1","598"
"Portugal","6","Belgium","2","1","599"
"France","1","Portugal","6","1","600"
"Japan","4","Spain","3","1","601"
"Mexico","5","Germany","5","1","602"
"Uruguay","6","Italy","8","1","603"
"England","1","Argentina","4","1","604"
"Netherlands","8","Portugal","5","1","605"
"Germany","7","Argentina","8","1","606"
"France","8","Brazil","8","1","607"
"Portugal","5","Italy","2","1","608"
"Iran","7","Switzerland","6","1","609"
"Spain","5","Netherlands","5","1","610"
"France","3","Brazil","7","1","611"
"Germany","3","Korea Republic","6","1","612"
"Colombia","7","Portugal","5","1","613"
"Denmark","6","Mexico","7","1","614"
"England","6","Costa Rica","8","1","615"
"Brazil","1","Poland","4","1","616"
"Algeria","2","Brazil","1","1","617"
"Spain","6","Germany","7","1","618"
"Iran","1","Denmark","3","1","619"
"Algeria","6","Portugal","6","1","620"
"Spain","4","Brazil","7","1","621"
"Morocco","6","Mexico","3","1","622"
"England","2","Denmark","8","1","623"
"France","4","Brazil","7","1","624"
"Chile","4","England","7","1","625"
"Colombia","2","Croatia","6","1","626"
"Denmark","5","Italy","8","1","627"
"Argentina","2","Spain","4","1","628"
"Portugal","7","Belgium","8","1","629"
"England","1","Belgium","2","1","630"
"Uruguay","8","France","8","1","631"
"Germany","4","Chile","5","1","632"
"Portugal","3","Uruguay","3","1","633"
"Spain","4","Netherlands","3","1","634"
"Italy","1","Portugal","4","1","635"
"Belgium","8","Switzerland","4","1","636"
"Portugal","3","France","1","1","637"
"Denmark","7","Argentina","3","1","638"
"Colombia","8","Portugal","3","1","639"
"Belgium","7","Argentina","6","1","640"
"France","4","Portugal","4","1","641"
"Switzerland","2","France","2","1","642"
"Brazil","4","Wales","4","1","643"
"Netherlands","4","Colombia","8","1","644"
"Portugal","4","Australia","7","1","645"
"Brazil","6","Germany","5","1","646"
"Mexico","4","Poland","1","1","647"
"Denmark","6","Korea Republic","6","1","648"
"Argentina","8","Wales","1","1","649"
"Portugal","6","Brazil","3","1","650"
"Netherlands","6","Italy","6","1","651"
"Brazil","7","Netherlands","5","1","652"
"Brazil","8","France","8","1","653"
"England","5","Jamaica","3","1","654"
"Denmark","3","Italy","8","1","655"
"Korea Republic","4","Mexico","7","1","656"
"Croatia","5","Portugal","3","1","657"
"Germany","5","Algeria","7","1","658"
"Argentina","2","Senegal","6","1","659"
"Japan","4","Poland","6","1","660"
"Brazil","3","Italy","1","1","661"
"United States","1","Switzerland","3","1","662"
"Poland","5","Belgium","1","1","663"
"Denmark","3","Brazil","3","1","664"
"Jamaica","7","Qatar","1","1","665"
"Belgium","7","Portugal","7","1","666"
"Argentina","1","Italy","6","1","667"
"Portugal","6","Argentina","3","1","668"
"Belgium","6","Japan","2","1","669"
"Germany","6","Belgium","2","1","670"
"Belgium","3","Switzerland","2","1","671"
"Brazil","6","Morocco","2","1","672"
"Switzerland","1","France","8","1","673"
"Wales","1","Colombia","7","1","674"
"Wales","6","Netherlands","6","1","675"
"Italy","4","England","6","1","676"
"Portugal","8","Germany","8","1","677"
"Croatia","4","Belgium","5","1","678"
"Switzerland","8","France","2","1","679"
"Brazil","3","Japan","3","1","680"
"Brazil","8","England","7","1","681"
"Iran","2","Netherlands","6","1","682"
"Wales","1","Brazil","7","1","683"
"Iran","4","Germany","6","1","684"
"France","5","Croatia","3","1","685"
"Italy","6","Belgium","3","1","686"
"Netherlands","5","Belgium","3","1","687"
"Belgium","4","Spain","1","1","688"
"Iran","3","Portugal","7","1","689"
"Brazil","5","Qatar","1","1","690"
"Spain","6","Mexico","5","1","691"
"Denmark","6","Portugal","1","1","692"
"Argentina","8","Qatar","2","1","693"
"Argentina","7","Belgium","6","1","694"
"France","3","Croatia","7","1","695"
"Iran","1","Argentina","7","1","696"
"Brazil","2","England","2","1","697"
"Portugal","7","Mexico","5","1","698"
"Switzerland","2","Colombia","8","1","699"
"Uruguay","2","Italy","2","1","700"
"England","7","Brazil","2","1","701"
"Algeria","6","Spain","1","1","702"
"Germany","2","Brazil","5","1","703"
"England","4","France","3","1","704"
"Poland","8","Denmark","8","1","705"
"Mexico","2","Brazil","2","1","706"
"Spain","5","Iran","3","1","707"
"Uruguay","8","Belgium","8","1","708"
"Tunisia","6","France","2","1","709"
"England","8","Denmark","5","1","710"
"Germany","3","Uruguay","6","1","711"
"Mexico","1","Qatar","1","1","712"
"Brazil","1","Argentina","4","1","713"
"Italy","4","England","6","1","714"
"England","2","Italy","7","1","715"
"Italy","3","Portugal","7","1","716"
"England","6","Croatia","1","1","717"
"Portugal","8","Italy","3","1","718"
"Portugal","6","Denmark","8","1","719"
"Switzerland","2","Algeria","8","1","720"
"France","2","Portugal","4","1","721"
"Mexico","5","Belgium","5","1","722"
"Argentina","6","Chile","6","1","723"
"Italy","1","Colombia","1","1","724"
"Portugal","5","Brazil","1","1","725"
"Croatia","8","Spain","6","1","726"
"Wales","6","Belgium","1","1","727"
"Argentina","2","Spain","4","1","728"
"Italy","5","France","3","1","729"
"Mexico","6","Spain","6","1","730"
"Belgium","8","Italy","3","1","731"
"Belgium","2","Japan","8","1","732"
"Denmark","8","France","7","1","733"
