"team","group_team","opp_team","group_opp_team","match_num_quarter","simulation"
"Netherlands","6","Portugal","8","2","109"
"Belgium","1","Italy","3","3","109"
"England","6","Brazil","7","4","109"
"Netherlands","2","Brazil","3","1","110"
"Colombia","5","Australia","7","2","110"
"Switzerland","1","Argentina","4","3","110"
"France","5","Germany","8","4","110"
"Netherlands","1","United States","4","1","111"
"Italy","5","Croatia","7","2","111"
"England","1","Senegal","3","3","111"
"France","5","Argentina","7","4","111"
"Nigeria","2","Poland","3","1","112"
"Portugal","5","England","7","2","112"
"Croatia","2","Mexico","4","3","112"
"Italy","5","Uruguay","8","4","112"
"Qatar","1","Mexico","3","1","113"
"Argentina","6","Germany","8","2","113"
"Netherlands","1","France","4","3","113"
"Denmark","6","Brazil","7","4","113"
"Germany","2","Uruguay","3","1","114"
"Brazil","6","France","7","2","114"
"Portugal","1","Belgium","3","3","114"
"Spain","6","Denmark","8","4","114"
"Algeria","1","England","4","1","115"
"Portugal","5","Spain","7","2","115"
"Brazil","1","Italy","3","3","115"
"Germany","5","Croatia","7","4","115"
"Uruguay","1","Australia","3","1","116"
"Denmark","6","Belgium","8","2","116"
"Portugal","2","Netherlands","4","3","116"
"Germany","5","Colombia","8","4","116"
"Italy","1","Netherlands","4","1","117"
"Denmark","6","Germany","8","2","117"
"Belgium","1","England","4","3","117"
"Spain","6","Brazil","8","4","117"
"Qatar","1","Netherlands","4","1","118"
"Korea Republic","5","Belgium","8","2","118"
"Spain","2","Brazil","3","3","118"
"France","6","Chile","7","4","118"
"Denmark","2","Spain","3","1","119"
"England","6","Algeria","8","2","119"
"Germany","1","Italy","3","3","119"
"Australia","6","Argentina","7","4","119"
"Germany","2","England","3","1","120"
"Spain","5","France","8","2","120"
"Brazil","1","Nigeria","3","3","120"
"Korea Republic","6","Argentina","7","4","120"
"Uruguay","1","Poland","4","1","121"
"Japan","6","Belgium","8","2","121"
"Germany","1","Spain","3","3","121"
"Argentina","5","Mexico","8","4","121"
"Denmark","1","Switzerland","3","1","122"
"Chile","6","Germany","7","2","122"
"Costa Rica","2","Brazil","3","3","122"
"Mexico","6","France","7","4","122"
"Croatia","2","Colombia","4","1","123"
"Poland","6","Switzerland","7","2","123"
"Qatar","1","Portugal","3","3","123"
"Brazil","5","Netherlands","7","4","123"
"Argentina","1","Colombia","4","1","124"
"Spain","6","England","7","2","124"
"Mexico","1","Australia","4","3","124"
"Belgium","6","Italy","7","4","124"
"Mexico","2","Italy","4","1","125"
"Wales","6","Brazil","8","2","125"
"Algeria","1","France","4","3","125"
"Korea Republic","5","Belgium","7","4","125"
"Germany","1","France","3","1","126"
"Wales","6","Spain","7","2","126"
"Brazil","1","Netherlands","3","3","126"
"Italy","6","Mexico","8","4","126"
"Italy","1","Mexico","4","1","127"
"Belgium","5","France","8","2","127"
"Argentina","1","Portugal","4","3","127"
"Wales","6","Brazil","7","4","127"
"Italy","1","Uruguay","3","1","128"
"Brazil","6","Germany","8","2","128"
"Denmark","2","Mexico","3","3","128"
"Argentina","5","Iran","8","4","128"
"Germany","1","Belgium","4","1","129"
"Portugal","5","France","8","2","129"
"Italy","1","United States","3","3","129"
"Brazil","5","Netherlands","8","4","129"
"Netherlands","1","England","4","1","130"
"United States","5","Spain","7","2","130"
"Belgium","1","Brazil","3","3","130"
"Italy","6","France","7","4","130"
"Germany","1","Italy","3","1","131"
"Switzerland","6","Tunisia","8","2","131"
"United States","2","Spain","3","3","131"
"Denmark","5","Netherlands","8","4","131"
"Algeria","2","France","4","1","132"
"Belgium","6","Croatia","8","2","132"
"Mexico","1","Colombia","4","3","132"
"Netherlands","6","Portugal","8","4","132"
"Senegal","1","Brazil","4","1","133"
"Japan","5","Belgium","8","2","133"
"Uruguay","1","France","3","3","133"
"Argentina","6","Spain","8","4","133"
"Croatia","2","Australia","3","1","134"
"Morocco","6","France","7","2","134"
"Brazil","1","Spain","3","3","134"
"Argentina","6","Korea Republic","7","4","134"
"Mexico","1","Netherlands","3","1","135"
"Brazil","6","Colombia","7","2","135"
"Morocco","2","Belgium","4","3","135"
"Switzerland","5","Spain","8","4","135"
"Poland","1","Germany","3","1","136"
"Brazil","6","Netherlands","8","2","136"
"Spain","2","France","3","3","136"
"Belgium","5","Costa Rica","8","4","136"
"Brazil","1","United States","4","1","137"
"Poland","6","Portugal","7","2","137"
"Mexico","1","France","3","3","137"
"Belgium","6","Iran","8","4","137"
"Senegal","2","Brazil","3","1","138"
"Japan","6","Germany","7","2","138"
"France","1","England","3","3","138"
"Iran","5","Chile","8","4","138"
"Germany","2","Brazil","4","1","139"
"England","5","Denmark","8","2","139"
"Belgium","1","Argentina","3","3","139"
"Mexico","6","France","7","4","139"
"Qatar","1","Germany","3","1","140"
"Belgium","5","Uruguay","7","2","140"
"Argentina","1","Denmark","4","3","140"
"Colombia","6","Spain","8","4","140"
"Denmark","2","Brazil","4","1","141"
"Colombia","5","Netherlands","8","2","141"
"Qatar","1","France","3","3","141"
"Croatia","5","Spain","7","4","141"
"Spain","2","Belgium","4","1","142"
"Wales","6","Germany","7","2","142"
"Italy","1","Croatia","4","3","142"
"France","5","Brazil","7","4","142"
"Poland","2","Australia","3","1","143"
"Belgium","6","Denmark","8","2","143"
"Italy","1","Argentina","3","3","143"
"Portugal","6","Spain","7","4","143"
"Japan","1","England","4","1","144"
"Spain","6","Netherlands","8","2","144"
"Croatia","1","Italy","4","3","144"
"Mexico","6","France","7","4","144"
"Uruguay","2","Argentina","3","1","145"
"Germany","5","Mexico","7","2","145"
"Poland","1","Netherlands","4","3","145"
"Portugal","6","Spain","7","4","145"
"England","1","Denmark","4","1","146"
"Colombia","6","France","8","2","146"
"Senegal","1","Brazil","3","3","146"
"Portugal","6","Iran","7","4","146"
"Italy","1","Spain","3","1","147"
"Iran","6","Brazil","8","2","147"
"Algeria","2","Portugal","4","3","147"
"England","6","Croatia","7","4","147"
"Italy","2","Colombia","3","1","148"
"Spain","6","Germany","7","2","148"
"Denmark","1","England","3","3","148"
"Algeria","5","Brazil","7","4","148"
"Uruguay","1","Italy","3","1","149"
"Belgium","6","Argentina","8","2","149"
"Switzerland","1","Brazil","4","3","149"
"Iran","6","Wales","8","4","149"
"Netherlands","1","Croatia","3","1","150"
"Portugal","5","France","8","2","150"
"Belgium","1","Iran","3","3","150"
"Algeria","5","Colombia","8","4","150"
"Netherlands","1","Croatia","4","1","151"
"France","6","Spain","8","2","151"
"Portugal","1","Japan","3","3","151"
"Iran","5","Mexico","7","4","151"
"Netherlands","2","Belgium","3","1","152"
"Chile","5","Wales","8","2","152"
"Qatar","1","Mexico","4","3","152"
"Portugal","6","France","7","4","152"
"Uruguay","1","Belgium","4","1","153"
"France","5","Wales","8","2","153"
"Portugal","2","Denmark","4","3","153"
"Italy","5","Brazil","7","4","153"
"England","1","Croatia","3","1","154"
"Australia","6","Netherlands","8","2","154"
"Uruguay","2","Belgium","3","3","154"
"Italy","5","Portugal","8","4","154"
"Tunisia","2","Switzerland","3","1","155"
"Spain","5","France","8","2","155"
"Brazil","1","Korea Republic","3","3","155"
"Germany","6","Iran","7","4","155"
"Denmark","2","Poland","4","1","156"
"Algeria","6","Australia","7","2","156"
"Belgium","1","Mexico","4","3","156"
"Colombia","5","Argentina","7","4","156"
"Uruguay","1","Italy","4","1","157"
"Spain","5","Australia","8","2","157"
"Portugal","2","Belgium","4","3","157"
"Denmark","5","England","8","4","157"
"Poland","2","Italy","3","1","158"
"Spain","6","Denmark","7","2","158"
"France","2","England","3","3","158"
"Argentina","6","Belgium","7","4","158"
"Netherlands","1","Australia","3","1","159"
"France","5","Mexico","7","2","159"
"England","1","Portugal","4","3","159"
"Colombia","6","Argentina","8","4","159"
"Croatia","2","Netherlands","3","1","160"
"Jamaica","5","Portugal","7","2","160"
"Denmark","1","Brazil","4","3","160"
"Argentina","5","Italy","8","4","160"
"Switzerland","1","Germany","4","1","161"
"Costa Rica","6","France","8","2","161"
"Netherlands","2","England","3","3","161"
"Brazil","6","Japan","8","4","161"
"Korea Republic","1","Tunisia","3","1","162"
"Belgium","6","Brazil","8","2","162"
"Denmark","2","Portugal","4","3","162"
"Iran","6","Italy","7","4","162"
"Colombia","2","Japan","4","1","163"
"Spain","6","Switzerland","8","2","163"
"Argentina","1","Brazil","4","3","163"
"Australia","6","Belgium","7","4","163"
"Qatar","1","Portugal","3","1","164"
"Spain","6","Belgium","8","2","164"
"Italy","1","France","3","3","164"
"England","6","Uruguay","7","4","164"
"Japan","2","Korea Republic","3","1","165"
"Iran","5","Portugal","7","2","165"
"Netherlands","1","Brazil","3","3","165"
"England","5","Germany","8","4","165"
"Denmark","2","Iran","3","1","166"
"Portugal","5","Italy","8","2","166"
"Belgium","1","France","3","3","166"
"Netherlands","6","Brazil","7","4","166"
"Netherlands","2","Uruguay","4","1","167"
"Belgium","5","Brazil","8","2","167"
"Tunisia","1","Spain","4","3","167"
"Denmark","5","Poland","7","4","167"
"Colombia","2","Brazil","3","1","168"
"Switzerland","6","Portugal","7","2","168"
"Qatar","1","Korea Republic","4","3","168"
"France","5","Australia","7","4","168"
"Chile","1","France","4","1","169"
"Iran","5","Germany","7","2","169"
"Belgium","1","Argentina","4","3","169"
"Netherlands","6","Denmark","7","4","169"
"Netherlands","2","Spain","4","1","170"
"Uruguay","6","Portugal","7","2","170"
"Japan","2","Germany","4","3","170"
"Belgium","5","Colombia","8","4","170"
"Germany","1","Colombia","3","1","171"
"Chile","6","Argentina","8","2","171"
"Senegal","2","France","3","3","171"
"Denmark","6","Portugal","8","4","171"
"Senegal","1","France","4","1","172"
"England","6","Croatia","8","2","172"
"Colombia","2","Netherlands","3","3","172"
"Spain","5","Brazil","7","4","172"
"Mexico","2","Portugal","4","1","173"
"Brazil","6","Italy","8","2","173"
"England","1","Senegal","3","3","173"
"France","5","Germany","7","4","173"
"Brazil","1","Germany","4","1","174"
"Uruguay","6","Italy","8","2","174"
"Netherlands","1","Spain","4","3","174"
"England","6","Portugal","7","4","174"
"Uruguay","2","Brazil","4","1","175"
"Wales","6","Netherlands","8","2","175"
"Portugal","2","Croatia","4","3","175"
"France","6","Mexico","7","4","175"
"Qatar","1","Brazil","4","1","176"
"Portugal","5","Poland","8","2","176"
"Italy","2","Belgium","3","3","176"
"France","6","Spain","8","4","176"
"Qatar","1","Croatia","3","1","177"
"Portugal","5","Belgium","7","2","177"
"Brazil","1","Netherlands","3","3","177"
"France","5","Italy","7","4","177"
"Uruguay","1","Brazil","3","1","178"
"Denmark","5","Spain","8","2","178"
"Italy","1","Germany","3","3","178"
"England","6","Morocco","8","4","178"
"Mexico","1","Brazil","3","1","179"
"France","6","Algeria","7","2","179"
"Croatia","1","Uruguay","4","3","179"
"Spain","6","Portugal","8","4","179"
"Italy","1","Brazil","4","1","180"
"Spain","6","Croatia","7","2","180"
"Chile","2","Germany","3","3","180"
"Japan","5","Belgium","7","4","180"
"Netherlands","1","Brazil","3","1","181"
"Germany","6","Belgium","7","2","181"
"Mexico","1","Italy","4","3","181"
"France","5","Croatia","8","4","181"
"Germany","2","Australia","3","1","182"
"Colombia","5","England","8","2","182"
