"team","group_team","rank_team","opp_team","group_opp_team","rank_opp","match_num","simulation"
"Nigeria",5,2,"Spain",6,1,7,15
"Belgium",7,2,"Denmark",8,1,8,15
"Chile",1,1,"Spain",2,2,1,16
"Iran",3,1,"Australia",4,2,2,16
"England",5,1,"Argentina",6,2,3,16
"Portugal",7,1,"Denmark",8,2,4,16
"Qatar",1,2,"Colombia",2,1,5,16
"France",3,2,"Belgium",4,1,6,16
"Netherlands",5,2,"Poland",6,1,7,16
"Germany",7,2,"Brazil",8,1,8,16
"Italy",1,1,"Netherlands",2,2,1,17
"Brazil",3,1,"Denmark",4,2,2,17
"Argentina",5,1,"Colombia",6,2,3,17
"Wales",7,1,"Uruguay",8,2,4,17
"Chile",1,2,"Belgium",2,1,5,17
"United States",3,2,"England",4,1,6,17
"Algeria",5,2,"Portugal",6,1,7,17
"Mexico",7,2,"Switzerland",8,1,8,17
"Denmark",1,1,"Italy",2,2,1,18
"Spain",3,1,"Portugal",4,2,2,18
"Belgium",5,1,"Brazil",6,2,3,18
"France",7,1,"England",8,2,4,18
"Tunisia",1,2,"United States",2,1,5,18
"Colombia",3,2,"Algeria",4,1,6,18
"Korea Republic",5,2,"Mexico",6,1,7,18
"Iran",7,2,"Germany",8,1,8,18
"Netherlands",1,1,"Japan",2,2,1,19
"Brazil",3,1,"Spain",4,2,2,19
"Belgium",5,1,"Italy",6,2,3,19
"Chile",7,1,"Argentina",8,2,4,19
"Morocco",1,2,"England",2,1,5,19
"United States",3,2,"Iran",4,1,6,19
"Germany",5,2,"France",6,1,7,19
"Mexico",7,2,"Wales",8,1,8,19
"Uruguay",1,1,"Argentina",2,2,1,20
"Germany",3,1,"Brazil",4,2,2,20
"Belgium",5,1,"Colombia",6,2,3,20
"Spain",7,1,"Chile",8,2,4,20
"United States",1,2,"Italy",2,1,5,20
"England",3,2,"Netherlands",4,1,6,20
"Switzerland",5,2,"Portugal",6,1,7,20
"Morocco",7,2,"Croatia",8,1,8,20
"Qatar",1,1,"Netherlands",2,2,1,21
"Spain",3,1,"Brazil",4,2,2,21
"England",5,1,"Switzerland",6,2,3,21
"Argentina",7,1,"Belgium",8,2,4,21
"Croatia",1,2,"France",2,1,5,21
"Colombia",3,2,"Japan",4,1,6,21
"Mexico",5,2,"Portugal",6,1,7,21
"Italy",7,2,"Costa Rica",8,1,8,21
"Germany",1,1,"Spain",2,2,1,22
"Belgium",3,1,"Italy",4,2,2,22
"Denmark",5,1,"France",6,2,3,22
"England",7,1,"Argentina",8,2,4,22
"Qatar",1,2,"Mexico",2,1,5,22
"Algeria",3,2,"Brazil",4,1,6,22
"Chile",5,2,"Croatia",6,1,7,22
"United States",7,2,"Netherlands",8,1,8,22
"Italy",1,1,"Iran",2,2,1,23
"Denmark",3,1,"France",4,2,2,23
"Brazil",5,1,"Portugal",6,2,3,23
"Argentina",7,1,"Mexico",8,2,4,23
"Qatar",1,2,"Spain",2,1,5,23
"Switzerland",3,2,"Uruguay",4,1,6,23
"Tunisia",5,2,"Poland",6,1,7,23
"Japan",7,2,"Belgium",8,1,8,23
"Switzerland",1,1,"England",2,2,1,24
"France",3,1,"Brazil",4,2,2,24
"Portugal",5,1,"Colombia",6,2,3,24
"Chile",7,1,"Wales",8,2,4,24
"Denmark",1,2,"Netherlands",2,1,5,24
"Germany",3,2,"Italy",4,1,6,24
"Korea Republic",5,2,"Spain",6,1,7,24
"Belgium",7,2,"Argentina",8,1,8,24
"Mexico",1,1,"Belgium",2,2,1,25
"Denmark",3,1,"Switzerland",4,2,2,25
"Iran",5,1,"Japan",6,2,3,25
"Portugal",7,1,"Nigeria",8,2,4,25
"Chile",1,2,"Germany",2,1,5,25
"France",3,2,"Uruguay",4,1,6,25
"Argentina",5,2,"Spain",6,1,7,25
"Croatia",7,2,"Brazil",8,1,8,25
"Croatia",1,1,"Italy",2,2,1,26
"Colombia",3,1,"Brazil",4,2,2,26
"Argentina",5,1,"Korea Republic",6,2,3,26
"Portugal",7,1,"Denmark",8,2,4,26
"Qatar",1,2,"France",2,1,5,26
"Iran",3,2,"Netherlands",4,1,6,26
"Switzerland",5,2,"Spain",6,1,7,26
"Mexico",7,2,"England",8,1,8,26
"Germany",1,1,"Poland",2,2,1,27
"France",3,1,"Croatia",4,2,2,27
"Korea Republic",5,1,"Argentina",6,2,3,27
"Spain",7,1,"Italy",8,2,4,27
