"team","group_team","rank_team","opp_team","group_opp_team","rank_opp","match_num","simulation"
"Mexico",7,2,"Belgium",8,1,8,175
"Qatar",1,1,"England",2,2,1,176
"Brazil",3,1,"Korea Republic",4,2,2,176
"Portugal",5,1,"Algeria",6,2,3,176
"Argentina",7,1,"Poland",8,2,4,176
"Costa Rica",1,2,"Italy",2,1,5,176
"Switzerland",3,2,"Belgium",4,1,6,176
"Chile",5,2,"France",6,1,7,176
"Iran",7,2,"Spain",8,1,8,176
"Qatar",1,1,"Korea Republic",2,2,1,177
"England",3,1,"Croatia",4,2,2,177
"Portugal",5,1,"Costa Rica",6,2,3,177
"Spain",7,1,"Belgium",8,2,4,177
"Germany",1,2,"Brazil",2,1,5,177
"Netherlands",3,2,"Argentina",4,1,6,177
"Uruguay",5,2,"France",6,1,7,177
"Mexico",7,2,"Italy",8,1,8,177
"Uruguay",1,1,"Algeria",2,2,1,178
"Portugal",3,1,"Brazil",4,2,2,178
"France",5,1,"Denmark",6,2,3,178
"Spain",7,1,"Switzerland",8,2,4,178
"Poland",1,2,"Italy",2,1,5,178
"Tunisia",3,2,"Germany",4,1,6,178
"Chile",5,2,"England",6,1,7,178
"Morocco",7,2,"Netherlands",8,1,8,178
"Mexico",1,1,"Argentina",2,2,1,179
"Brazil",3,1,"Belgium",4,2,2,179
"France",5,1,"Italy",6,2,3,179
"Germany",7,1,"Algeria",8,2,4,179
"Nigeria",1,2,"Croatia",2,1,5,179
"Netherlands",3,2,"Uruguay",4,1,6,179
"Australia",5,2,"Spain",6,1,7,179
"England",7,2,"Portugal",8,1,8,179
"Mexico",1,1,"Italy",2,2,1,180
"Brazil",3,1,"Senegal",4,2,2,180
"Spain",5,1,"Uruguay",6,2,3,180
"Croatia",7,1,"Argentina",8,2,4,180
"Chile",1,2,"England",2,1,5,180
"Germany",3,2,"Colombia",4,1,6,180
"Japan",5,2,"Iran",6,1,7,180
"Belgium",7,2,"Algeria",8,1,8,180
"Netherlands",1,1,"Japan",2,2,1,181
"Poland",3,1,"Brazil",4,2,2,181
"Germany",5,1,"United States",6,2,3,181
"Jamaica",7,1,"Belgium",8,2,4,181
"Qatar",1,2,"Mexico",2,1,5,181
"England",3,2,"Italy",4,1,6,181
"Portugal",5,2,"France",6,1,7,181
"Croatia",7,2,"Denmark",8,1,8,181
"Algeria",1,1,"Germany",2,2,1,182
"Mexico",3,1,"Australia",4,2,2,182
"Korea Republic",5,1,"Colombia",6,2,3,182
"England",7,1,"Nigeria",8,2,4,182
"Italy",1,2,"Portugal",2,1,5,182
"France",3,2,"Uruguay",4,1,6,182
"Brazil",5,2,"Spain",6,1,7,182
"Netherlands",7,2,"Argentina",8,1,8,182
"Uruguay",1,1,"France",2,2,1,183
"Colombia",3,1,"Wales",4,2,2,183
"Spain",5,1,"Belgium",6,2,3,183
"Iran",7,1,"England",8,2,4,183
"Qatar",1,2,"Mexico",2,1,5,183
"Korea Republic",3,2,"Netherlands",4,1,6,183
"Germany",5,2,"Denmark",6,1,7,183
"Argentina",7,2,"Italy",8,1,8,183
"Croatia",1,1,"Switzerland",2,2,1,184
"Belgium",3,1,"Japan",4,2,2,184
"Denmark",5,1,"Netherlands",6,2,3,184
"Colombia",7,1,"England",8,2,4,184
"Jamaica",1,2,"Germany",2,1,5,184
"Korea Republic",3,2,"Brazil",4,1,6,184
"France",5,2,"Argentina",6,1,7,184
"Iran",7,2,"Uruguay",8,1,8,184
"Netherlands",1,1,"Denmark",2,2,1,185
"Costa Rica",3,1,"Nigeria",4,2,2,185
"France",5,1,"Germany",6,2,3,185
"Belgium",7,1,"Iran",8,2,4,185
"Switzerland",1,2,"Brazil",2,1,5,185
"Italy",3,2,"Mexico",4,1,6,185
"Wales",5,2,"Portugal",6,1,7,185
"Korea Republic",7,2,"Spain",8,1,8,185
"Uruguay",1,1,"Denmark",2,2,1,186
"Brazil",3,1,"Mexico",4,2,2,186
"Spain",5,1,"France",6,2,3,186
"Iran",7,1,"Italy",8,2,4,186
"Poland",1,2,"Belgium",2,1,5,186
"Nigeria",3,2,"Argentina",4,1,6,186
"Colombia",5,2,"Germany",6,1,7,186
"Croatia",7,2,"England",8,1,8,186
"Uruguay",1,1,"Japan",2,2,1,187
"England",3,1,"Portugal",4,2,2,187
"Argentina",5,1,"Italy",6,2,3,187
"Netherlands",7,1,"United States",8,2,4,187
"Wales",1,2,"Belgium",2,1,5,187
"Senegal",3,2,"Chile",4,1,6,187
"Germany",5,2,"Spain",6,1,7,187
"Brazil",7,2,"France",8,1,8,187
"Uruguay",1,1,"Italy",2,2,1,188
"Mexico",3,1,"Chile",4,2,2,188
"Spain",5,1,"England",6,2,3,188
"Portugal",7,1,"Belgium",8,2,4,188
"Algeria",1,2,"Brazil",2,1,5,188
"Poland",3,2,"France",4,1,6,188
"Denmark",5,2,"Croatia",6,1,7,188
"Colombia",7,2,"Senegal",8,1,8,188
"Italy",1,1,"Colombia",2,2,1,189
"England",3,1,"Belgium",4,2,2,189
"Portugal",5,1,"Argentina",6,2,3,189
"Germany",7,1,"Spain",8,2,4,189
"Switzerland",1,2,"France",2,1,5,189
"Mexico",3,2,"Wales",4,1,6,189
"Morocco",5,2,"Poland",6,1,7,189
"Brazil",7,2,"Netherlands",8,1,8,189
"Croatia",1,1,"Denmark",2,2,1,190
"Colombia",3,1,"Netherlands",4,2,2,190
"Uruguay",5,1,"Korea Republic",6,2,3,190
"Portugal",7,1,"Iran",8,2,4,190
"Senegal",1,2,"Argentina",2,1,5,190
"Poland",3,2,"Belgium",4,1,6,190
"Spain",5,2,"Mexico",6,1,7,190
"Germany",7,2,"England",8,1,8,190
"Qatar",1,1,"Mexico",2,2,1,191
"Denmark",3,1,"Germany",4,2,2,191
"Brazil",5,1,"Spain",6,2,3,191
"Belgium",7,1,"Chile",8,2,4,191
"Netherlands",1,2,"Korea Republic",2,1,5,191
"Australia",3,2,"France",4,1,6,191
"Croatia",5,2,"Uruguay",6,1,7,191
"Wales",7,2,"Portugal",8,1,8,191
"Denmark",1,1,"Colombia",2,2,1,192
"England",3,1,"Australia",4,2,2,192
"Brazil",5,1,"Switzerland",6,2,3,192
"Italy",7,1,"Germany",8,2,4,192
"Costa Rica",1,2,"Portugal",2,1,5,192
"United States",3,2,"Netherlands",4,1,6,192
"Mexico",5,2,"Croatia",6,1,7,192
"France",7,2,"Belgium",8,1,8,192
"Colombia",1,1,"Chile",2,2,1,193
"Spain",3,1,"Denmark",4,2,2,193
"Belgium",5,1,"Croatia",6,2,3,193
"Netherlands",7,1,"Poland",8,2,4,193
"Jamaica",1,2,"Portugal",2,1,5,193
"Italy",3,2,"England",4,1,6,193
"Senegal",5,2,"Argentina",6,1,7,193
"Brazil",7,2,"Uruguay",8,1,8,193
"Italy",1,1,"Croatia",2,2,1,194
"Spain",3,1,"Argentina",4,2,2,194
"Japan",5,1,"Uruguay",6,2,3,194
"Colombia",7,1,"England",8,2,4,194
"Qatar",1,2,"Brazil",2,1,5,194
"Germany",3,2,"United States",4,1,6,194
"France",5,2,"Belgium",6,1,7,194
"Portugal",7,2,"Netherlands",8,1,8,194
"Qatar",1,1,"Iran",2,2,1,195
"France",3,1,"Chile",4,2,2,195
"Brazil",5,1,"Italy",6,2,3,195
"Netherlands",7,1,"United States",8,2,4,195
"Croatia",1,2,"Portugal",2,1,5,195
"Morocco",3,2,"Belgium",4,1,6,195
"Mexico",5,2,"Spain",6,1,7,195
"Argentina",7,2,"England",8,1,8,195
"Morocco",1,1,"Croatia",2,2,1,196
"Korea Republic",3,1,"Argentina",4,2,2,196
"Germany",5,1,"Denmark",6,2,3,196
"France",7,1,"Poland",8,2,4,196
"Colombia",1,2,"Portugal",2,1,5,196
"Mexico",3,2,"Netherlands",4,1,6,196
"Brazil",5,2,"Belgium",6,1,7,196
"Italy",7,2,"England",8,1,8,196
"Mexico",1,1,"Germany",2,2,1,197
"France",3,1,"Italy",4,2,2,197
"Brazil",5,1,"Spain",6,2,3,197
"Belgium",7,1,"Colombia",8,2,4,197
"Wales",1,2,"Argentina",2,1,5,197
"Uruguay",3,2,"England",4,1,6,197
"Denmark",5,2,"Netherlands",6,1,7,197
"Switzerland",7,2,"Portugal",8,1,8,197
"Senegal",1,1,"Iran",2,2,1,198
"Belgium",3,1,"Algeria",4,2,2,198
"Croatia",5,1,"Denmark",6,2,3,198
"Uruguay",7,1,"Netherlands",8,2,4,198
"Colombia",1,2,"France",2,1,5,198
"Italy",3,2,"Spain",4,1,6,198
"Nigeria",5,2,"Brazil",6,1,7,198
"Tunisia",7,2,"Portugal",8,1,8,198
"Italy",1,1,"England",2,2,1,199
"Brazil",3,1,"Iran",4,2,2,199
"Netherlands",5,1,"Croatia",6,2,3,199
"Spain",7,1,"Switzerland",8,2,4,199
"Wales",1,2,"Australia",2,1,5,199
"Germany",3,2,"Belgium",4,1,6,199
"Portugal",5,2,"Argentina",6,1,7,199
"Mexico",7,2,"Colombia",8,1,8,199
"Mexico",1,1,"Australia",2,2,1,200
"Netherlands",3,1,"Wales",4,2,2,200
"Portugal",5,1,"France",6,2,3,200
"Switzerland",7,1,"Croatia",8,2,4,200
"Chile",1,2,"Spain",2,1,5,200
"Korea Republic",3,2,"Brazil",4,1,6,200
"Colombia",5,2,"Denmark",6,1,7,200
"Uruguay",7,2,"Argentina",8,1,8,200
"Croatia",1,1,"Portugal",2,2,1,201
"France",3,1,"Iran",4,2,2,201
"Uruguay",5,1,"Chile",6,2,3,201
"Italy",7,1,"Algeria",8,2,4,201
"Jamaica",1,2,"Germany",2,1,5,201
"Netherlands",3,2,"Switzerland",4,1,6,201
"Wales",5,2,"Denmark",6,1,7,201
"Brazil",7,2,"Belgium",8,1,8,201
"Colombia",1,1,"Spain",2,2,1,202
"Portugal",3,1,"Croatia",4,2,2,202
"Wales",5,1,"Japan",6,2,3,202
"Brazil",7,1,"Argentina",8,2,4,202
"United States",1,2,"Germany",2,1,5,202
"Iran",3,2,"Belgium",4,1,6,202
"Italy",5,2,"France",6,1,7,202
"Korea Republic",7,2,"Australia",8,1,8,202
"Algeria",1,1,"Spain",2,2,1,203
"England",3,1,"Argentina",4,2,2,203
"Germany",5,1,"Colombia",6,2,3,203
"Brazil",7,1,"Iran",8,2,4,203
"Poland",1,2,"Uruguay",2,1,5,203
"Netherlands",3,2,"Denmark",4,1,6,203
"Belgium",5,2,"France",6,1,7,203
"Wales",7,2,"Chile",8,1,8,203
"Colombia",1,1,"England",2,2,1,204
"Brazil",3,1,"Uruguay",4,2,2,204
"France",5,1,"Argentina",6,2,3,204
"Belgium",7,1,"Algeria",8,2,4,204
"United States",1,2,"Croatia",2,1,5,204
"Nigeria",3,2,"Spain",4,1,6,204
"Denmark",5,2,"Germany",6,1,7,204
"Italy",7,2,"Netherlands",8,1,8,204
"Qatar",1,1,"Croatia",2,2,1,205
"Chile",3,1,"England",4,2,2,205
"Argentina",5,1,"Uruguay",6,2,3,205
"Belgium",7,1,"Italy",8,2,4,205
"Germany",1,2,"France",2,1,5,205
"Denmark",3,2,"Japan",4,1,6,205
"Netherlands",5,2,"Spain",6,1,7,205
"Switzerland",7,2,"Brazil",8,1,8,205
"Italy",1,1,"Korea Republic",2,2,1,206
"Australia",3,1,"United States",4,2,2,206
"Spain",5,1,"Portugal",6,2,3,206
"Poland",7,1,"Netherlands",8,2,4,206
"Qatar",1,2,"Brazil",2,1,5,206
"Senegal",3,2,"Uruguay",4,1,6,206
"Nigeria",5,2,"Colombia",6,1,7,206
"Croatia",7,2,"France",8,1,8,206
"Qatar",1,1,"Italy",2,2,1,207
"Mexico",3,1,"England",4,2,2,207
"Portugal",5,1,"Croatia",6,2,3,207
"France",7,1,"Netherlands",8,2,4,207
"Denmark",1,2,"Brazil",2,1,5,207
"Australia",3,2,"Colombia",4,1,6,207
"Germany",5,2,"Belgium",6,1,7,207
"Uruguay",7,2,"Spain",8,1,8,207
"Wales",1,1,"Poland",2,2,1,208
"Argentina",3,1,"England",4,2,2,208
"Italy",5,1,"Germany",6,2,3,208
"Portugal",7,1,"Netherlands",8,2,4,208
"Nigeria",1,2,"Brazil",2,1,5,208
"Iran",3,2,"Korea Republic",4,1,6,208
"Spain",5,2,"Belgium",6,1,7,208
"Colombia",7,2,"France",8,1,8,208
"Qatar",1,1,"Portugal",2,2,1,209
"Brazil",3,1,"Nigeria",4,2,2,209
"Australia",5,1,"Italy",6,2,3,209
"England",7,1,"Spain",8,2,4,209
"Costa Rica",1,2,"Germany",2,1,5,209
"Mexico",3,2,"Croatia",4,1,6,209
"Belgium",5,2,"Argentina",6,1,7,209
"Denmark",7,2,"Netherlands",8,1,8,209
"Germany",1,1,"Belgium",2,2,1,210
"Portugal",3,1,"Chile",4,2,2,210
"Brazil",5,1,"Spain",6,2,3,210
"France",7,1,"Argentina",8,2,4,210
"Wales",1,2,"United States",2,1,5,210
"Italy",3,2,"Mexico",4,1,6,210
"Croatia",5,2,"Netherlands",6,1,7,210
"Senegal",7,2,"Iran",8,1,8,210
"Costa Rica",1,1,"Spain",2,2,1,211
"France",3,1,"Germany",4,2,2,211
"Denmark",5,1,"Uruguay",6,2,3,211
"England",7,1,"United States",8,2,4,211
"Chile",1,2,"Japan",2,1,5,211
"Mexico",3,2,"Brazil",4,1,6,211
"Argentina",5,2,"Portugal",6,1,7,211
"Iran",7,2,"Colombia",8,1,8,211
"Wales",1,1,"Argentina",2,2,1,212
"Spain",3,1,"Denmark",4,2,2,212
"Algeria",5,1,"Croatia",6,2,3,212
"Belgium",7,1,"Korea Republic",8,2,4,212
"Qatar",1,2,"Germany",2,1,5,212
"Morocco",3,2,"France",4,1,6,212
"Mexico",5,2,"Poland",6,1,7,212
"Uruguay",7,2,"Netherlands",8,1,8,212
"Netherlands",1,1,"Algeria",2,2,1,213
"Switzerland",3,1,"Denmark",4,2,2,213
"France",5,1,"Chile",6,2,3,213
"Senegal",7,1,"Australia",8,2,4,213
"United States",1,2,"Wales",2,1,5,213
"Colombia",3,2,"Belgium",4,1,6,213
"Japan",5,2,"Germany",6,1,7,213
"Spain",7,2,"Argentina",8,1,8,213
"Poland",1,1,"Japan",2,2,1,214
"Wales",3,1,"Brazil",4,2,2,214
"Uruguay",5,1,"Iran",6,2,3,214
"Netherlands",7,1,"Chile",8,2,4,214
"Qatar",1,2,"Argentina",2,1,5,214
"Australia",3,2,"Switzerland",4,1,6,214
"Korea Republic",5,2,"Spain",6,1,7,214
"Belgium",7,2,"France",8,1,8,214
"Germany",1,1,"France",2,2,1,215
"Senegal",3,1,"Croatia",4,2,2,215
"Belgium",5,1,"Morocco",6,2,3,215
"Brazil",7,1,"Chile",8,2,4,215
"Qatar",1,2,"Italy",2,1,5,215
"Argentina",3,2,"Portugal",4,1,6,215
"Uruguay",5,2,"Colombia",6,1,7,215
"Mexico",7,2,"Netherlands",8,1,8,215
"Mexico",1,1,"Croatia",2,2,1,216
"Netherlands",3,1,"Brazil",4,2,2,216
"Portugal",5,1,"Italy",6,2,3,216
"England",7,1,"Germany",8,2,4,216
"Qatar",1,2,"Senegal",2,1,5,216
"Argentina",3,2,"Iran",4,1,6,216
"Colombia",5,2,"France",6,1,7,216
"Switzerland",7,2,"Belgium",8,1,8,216
"Netherlands",1,1,"Argentina",2,2,1,217
"England",3,1,"United States",4,2,2,217
"Portugal",5,1,"Brazil",6,2,3,217
"Colombia",7,1,"Denmark",8,2,4,217
"Wales",1,2,"Croatia",2,1,5,217
"Mexico",3,2,"Belgium",4,1,6,217
"Germany",5,2,"Italy",6,1,7,217
"Spain",7,2,"France",8,1,8,217
"Poland",1,1,"United States",2,2,1,218
"Croatia",3,1,"Senegal",4,2,2,218
"Mexico",5,1,"Netherlands",6,2,3,218
"Argentina",7,1,"Portugal",8,2,4,218
"Qatar",1,2,"England",2,1,5,218
"Brazil",3,2,"Denmark",4,1,6,218
"France",5,2,"Belgium",6,1,7,218
"Germany",7,2,"Italy",8,1,8,218
"Mexico",1,1,"Senegal",2,2,1,219
"Uruguay",3,1,"Italy",4,2,2,219
"Belgium",5,1,"Poland",6,2,3,219
"Switzerland",7,1,"Korea Republic",8,2,4,219
"Algeria",1,2,"Brazil",2,1,5,219
"Spain",3,2,"Portugal",4,1,6,219
"Iran",5,2,"Australia",6,1,7,219
"Germany",7,2,"Argentina",8,1,8,219
"Poland",1,1,"Germany",2,2,1,220
"Spain",3,1,"Brazil",4,2,2,220
"Senegal",5,1,"Belgium",6,2,3,220
"Japan",7,1,"Wales",8,2,4,220
"Italy",1,2,"Korea Republic",2,1,5,220
"Colombia",3,2,"Denmark",4,1,6,220
"Portugal",5,2,"Mexico",6,1,7,220
"Costa Rica",7,2,"Iran",8,1,8,220
"Poland",1,1,"France",2,2,1,221
"Belgium",3,1,"Chile",4,2,2,221
"Argentina",5,1,"Korea Republic",6,2,3,221
"Netherlands",7,1,"Portugal",8,2,4,221
"Denmark",1,2,"Mexico",2,1,5,221
"Croatia",3,2,"Spain",4,1,6,221
"Germany",5,2,"England",6,1,7,221
"Brazil",7,2,"Uruguay",8,1,8,221
"Mexico",1,1,"Brazil",2,2,1,222
"Argentina",3,1,"Colombia",4,2,2,222
"Belgium",5,1,"Netherlands",6,2,3,222
"Portugal",7,1,"Uruguay",8,2,4,222
"Morocco",1,2,"Korea Republic",2,1,5,222
"Croatia",3,2,"England",4,1,6,222
"Italy",5,2,"Spain",6,1,7,222
"Japan",7,2,"France",8,1,8,222
"Algeria",1,1,"Denmark",2,2,1,223
"Korea Republic",3,1,"Australia",4,2,2,223
"Germany",5,1,"Italy",6,2,3,223
"Mexico",7,1,"Wales",8,2,4,223
"Switzerland",1,2,"Brazil",2,1,5,223
"Argentina",3,2,"Spain",4,1,6,223
"Chile",5,2,"France",6,1,7,223
"Portugal",7,2,"Iran",8,1,8,223
"Senegal",1,1,"Belgium",2,2,1,224
"Spain",3,1,"Japan",4,2,2,224
"France",5,1,"Portugal",6,2,3,224
"Brazil",7,1,"Switzerland",8,2,4,224
"Costa Rica",1,2,"Italy",2,1,5,224
"Colombia",3,2,"Germany",4,1,6,224
"Uruguay",5,2,"Chile",6,1,7,224
"Mexico",7,2,"England",8,1,8,224
"Denmark",1,1,"Iran",2,2,1,225
"Chile",3,1,"Australia",4,2,2,225
"Belgium",5,1,"Netherlands",6,2,3,225
"Korea Republic",7,1,"Morocco",8,2,4,225
"Senegal",1,2,"Brazil",2,1,5,225
"France",3,2,"Uruguay",4,1,6,225
"Germany",5,2,"Argentina",6,1,7,225
"Italy",7,2,"Colombia",8,1,8,225
"Qatar",1,1,"United States",2,2,1,226
"Brazil",3,1,"Italy",4,2,2,226
"Belgium",5,1,"Portugal",6,2,3,226
"Spain",7,1,"Uruguay",8,2,4,226
"Jamaica",1,2,"Colombia",2,1,5,226
"Netherlands",3,2,"Argentina",4,1,6,226
"Denmark",5,2,"Wales",6,1,7,226
"Switzerland",7,2,"Costa Rica",8,1,8,226
"Netherlands",1,1,"Korea Republic",2,2,1,227
"France",3,1,"United States",4,2,2,227
"Uruguay",5,1,"Spain",6,2,3,227
"Brazil",7,1,"Italy",8,2,4,227
"Qatar",1,2,"Tunisia",2,1,5,227
"Senegal",3,2,"Argentina",4,1,6,227
"Portugal",5,2,"Germany",6,1,7,227
"Denmark",7,2,"England",8,1,8,227
"Germany",1,1,"Australia",2,2,1,228
"Japan",3,1,"Poland",4,2,2,228
"Argentina",5,1,"Uruguay",6,2,3,228
"Brazil",7,1,"Korea Republic",8,2,4,228
"Wales",1,2,"Portugal",2,1,5,228
"Netherlands",3,2,"Spain",4,1,6,228
"Switzerland",5,2,"England",6,1,7,228
"Italy",7,2,"France",8,1,8,228
"Jamaica",1,1,"Colombia",2,2,1,229
"Belgium",3,1,"Algeria",4,2,2,229
"Argentina",5,1,"Switzerland",6,2,3,229
"Netherlands",7,1,"Chile",8,2,4,229
"Senegal",1,2,"France",2,1,5,229
"Japan",3,2,"Brazil",4,1,6,229
"Germany",5,2,"Spain",6,1,7,229
"England",7,2,"Iran",8,1,8,229
"Denmark",1,1,"Wales",2,2,1,230
"Argentina",3,1,"England",4,2,2,230
"Switzerland",5,1,"Croatia",6,2,3,230
"Colombia",7,1,"Nigeria",8,2,4,230
"Qatar",1,2,"Italy",2,1,5,230
"United States",3,2,"Germany",4,1,6,230
"Mexico",5,2,"Brazil",6,1,7,230
"Australia",7,2,"Japan",8,1,8,230
"Qatar",1,1,"Germany",2,2,1,231
"Portugal",3,1,"Wales",4,2,2,231
"Brazil",5,1,"Switzerland",6,2,3,231
"Spain",7,1,"Mexico",8,2,4,231
"Chile",1,2,"Australia",2,1,5,231
"Uruguay",3,2,"Belgium",4,1,6,231
"United States",5,2,"Italy",6,1,7,231
"Japan",7,2,"France",8,1,8,231
"Germany",1,1,"Croatia",2,2,1,232
"Italy",3,1,"Uruguay",4,2,2,232
"Chile",5,1,"Iran",6,2,3,232
"Switzerland",7,1,"United States",8,2,4,232
"Nigeria",1,2,"Argentina",2,1,5,232
"Portugal",3,2,"Spain",4,1,6,232
"Denmark",5,2,"Belgium",6,1,7,232
"Mexico",7,2,"France",8,1,8,232
"Switzerland",1,1,"Germany",2,2,1,233
"Iran",3,1,"Argentina",4,2,2,233
"England",5,1,"Poland",6,2,3,233
"Portugal",7,1,"Uruguay",8,2,4,233
"Qatar",1,2,"Brazil",2,1,5,233
"Senegal",3,2,"United States",4,1,6,233
"Tunisia",5,2,"France",6,1,7,233
"Netherlands",7,2,"Belgium",8,1,8,233
"Qatar",1,1,"Uruguay",2,2,1,234
"Switzerland",3,1,"Poland",4,2,2,234
"England",5,1,"Japan",6,2,3,234
"Argentina",7,1,"Iran",8,2,4,234
"Colombia",1,2,"Belgium",2,1,5,234
"Italy",3,2,"Netherlands",4,1,6,234
"Chile",5,2,"France",6,1,7,234
"Tunisia",7,2,"Spain",8,1,8,234
"Qatar",1,1,"Italy",2,2,1,235
"Germany",3,1,"Colombia",4,2,2,235
"Poland",5,1,"Denmark",6,2,3,235
"Argentina",7,1,"Iran",8,2,4,235
"Nigeria",1,2,"Spain",2,1,5,235
"Wales",3,2,"Portugal",4,1,6,235
"France",5,2,"Belgium",6,1,7,235
"Japan",7,2,"England",8,1,8,235
"Qatar",1,1,"Japan",2,2,1,236
"Switzerland",3,1,"Colombia",4,2,2,236
"Netherlands",5,1,"Denmark",6,2,3,236
"Poland",7,1,"Algeria",8,2,4,236
"Uruguay",1,2,"France",2,1,5,236
"Belgium",3,2,"Australia",4,1,6,236
"United States",5,2,"Brazil",6,1,7,236
"England",7,2,"Croatia",8,1,8,236
"Switzerland",1,1,"Argentina",2,2,1,237
"Portugal",3,1,"Mexico",4,2,2,237
"Netherlands",5,1,"Iran",6,2,3,237
"Belgium",7,1,"Denmark",8,2,4,237
"Italy",1,2,"Germany",2,1,5,237
"Nigeria",3,2,"England",4,1,6,237
"France",5,2,"Spain",6,1,7,237
"Uruguay",7,2,"Brazil",8,1,8,237
"Chile",1,1,"Poland",2,2,1,238
"Portugal",3,1,"Netherlands",4,2,2,238
"England",5,1,"Nigeria",6,2,3,238
"Iran",7,1,"Switzerland",8,2,4,238
"Mexico",1,2,"Italy",2,1,5,238
"Australia",3,2,"Brazil",4,1,6,238
"Uruguay",5,2,"Spain",6,1,7,238
"Argentina",7,2,"France",8,1,8,238
"Italy",1,1,"Brazil",2,2,1,239
"Korea Republic",3,1,"Netherlands",4,2,2,239
"France",5,1,"Argentina",6,2,3,239
"Spain",7,1,"England",8,2,4,239
"Jamaica",1,2,"Germany",2,1,5,239
"Portugal",3,2,"Belgium",4,1,6,239
"Switzerland",5,2,"Denmark",6,1,7,239
"Croatia",7,2,"Colombia",8,1,8,239
"Qatar",1,1,"Japan",2,2,1,240
"Iran",3,1,"Mexico",4,2,2,240
"Argentina",5,1,"Netherlands",6,2,3,240
"Brazil",7,1,"Colombia",8,2,4,240
"Switzerland",1,2,"England",2,1,5,240
"Chile",3,2,"France",4,1,6,240
"Denmark",5,2,"Belgium",6,1,7,240
"Croatia",7,2,"Spain",8,1,8,240
"United States",1,1,"Colombia",2,2,1,241
"Spain",3,1,"Mexico",4,2,2,241
"Netherlands",5,1,"Switzerland",6,2,3,241
"Korea Republic",7,1,"Wales",8,2,4,241
"Qatar",1,2,"England",2,1,5,241
"Costa Rica",3,2,"Brazil",4,1,6,241
"Iran",5,2,"Argentina",6,1,7,241
"Italy",7,2,"Belgium",8,1,8,241
"Croatia",1,1,"Spain",2,2,1,242
"Germany",3,1,"Poland",4,2,2,242
"Argentina",5,1,"Senegal",6,2,3,242
"France",7,1,"Portugal",8,2,4,242
"Tunisia",1,2,"Netherlands",2,1,5,242
"Korea Republic",3,2,"Belgium",4,1,6,242
"Denmark",5,2,"Australia",6,1,7,242
"Mexico",7,2,"Uruguay",8,1,8,242
"Uruguay",1,1,"Brazil",2,2,1,243
"Netherlands",3,1,"Italy",4,2,2,243
"Argentina",5,1,"Poland",6,2,3,243
"Denmark",7,1,"Wales",8,2,4,243
"United States",1,2,"Korea Republic",2,1,5,243
"Belgium",3,2,"France",4,1,6,243
"Switzerland",5,2,"Spain",6,1,7,243
"Portugal",7,2,"Mexico",8,1,8,243
"Denmark",1,1,"Japan",2,2,1,244
"Korea Republic",3,1,"Australia",4,2,2,244
"Portugal",5,1,"Tunisia",6,2,3,244
"France",7,1,"Italy",8,2,4,244
"Poland",1,2,"Belgium",2,1,5,244
"Brazil",3,2,"Colombia",4,1,6,244
"Chile",5,2,"Uruguay",6,1,7,244
"United States",7,2,"Argentina",8,1,8,244
"Netherlands",1,1,"Algeria",2,2,1,245
"Brazil",3,1,"France",4,2,2,245
"Croatia",5,1,"Tunisia",6,2,3,245
"Chile",7,1,"Morocco",8,2,4,245
"Switzerland",1,2,"Portugal",2,1,5,245
"Wales",3,2,"Poland",4,1,6,245
"Argentina",5,2,"England",6,1,7,245
"Mexico",7,2,"Spain",8,1,8,245
"Denmark",1,1,"Korea Republic",2,2,1,246
"France",3,1,"Croatia",4,2,2,246
"Argentina",5,1,"Switzerland",6,2,3,246
"Tunisia",7,1,"Germany",8,2,4,246
"Qatar",1,2,"Wales",2,1,5,246
"Japan",3,2,"Belgium",4,1,6,246
"Mexico",5,2,"Netherlands",6,1,7,246
"England",7,2,"Portugal",8,1,8,246
"Chile",1,1,"Wales",2,2,1,247
"France",3,1,"Portugal",4,2,2,247
"Brazil",5,1,"Germany",6,2,3,247
"Belgium",7,1,"England",8,2,4,247
"Jamaica",1,2,"Korea Republic",2,1,5,247
"United States",3,2,"Uruguay",4,1,6,247
"Mexico",5,2,"Argentina",6,1,7,247
"Australia",7,2,"Poland",8,1,8,247
"Italy",1,1,"Belgium",2,2,1,248
"Argentina",3,1,"Brazil",4,2,2,248
"Portugal",5,1,"England",6,2,3,248
"Spain",7,1,"Poland",8,2,4,248
"Chile",1,2,"Korea Republic",2,1,5,248
"Mexico",3,2,"Germany",4,1,6,248
"Colombia",5,2,"Iran",6,1,7,248
"Uruguay",7,2,"Denmark",8,1,8,248
"Colombia",1,1,"Italy",2,2,1,249
"France",3,1,"United States",4,2,2,249
"Brazil",5,1,"Uruguay",6,2,3,249
"Chile",7,1,"Germany",8,2,4,249
"Jamaica",1,2,"Japan",2,1,5,249
"Croatia",3,2,"Korea Republic",4,1,6,249
"Wales",5,2,"Portugal",6,1,7,249
"Morocco",7,2,"Poland",8,1,8,249
"Uruguay",1,1,"Brazil",2,2,1,250
"Japan",3,1,"Australia",4,2,2,250
"Belgium",5,1,"Colombia",6,2,3,250
"Argentina",7,1,"Denmark",8,2,4,250
"Qatar",1,2,"Iran",2,1,5,250
"England",3,2,"France",4,1,6,250
"Italy",5,2,"Spain",6,1,7,250
"Netherlands",7,2,"Portugal",8,1,8,250
"Poland",1,1,"Netherlands",2,2,1,251
