"team","group_team","opp_team","group_opp_team","match_num_semi","simulation"
"Denmark","1","France","8","1","146"
"Brazil","1","Iran","6","2","146"
"Italy","3","Brazil","6","1","147"
"Algeria","4","Croatia","6","2","147"
"Italy","2","Germany","6","1","148"
"Denmark","3","Brazil","7","2","148"
"Uruguay","1","Belgium","6","1","149"
"Brazil","1","Iran","8","2","149"
"Netherlands","1","Portugal","5","1","150"
"Belgium","3","Colombia","8","2","150"
"Netherlands","1","France","8","1","151"
"Portugal","1","Mexico","7","2","151"
"Netherlands","2","Chile","8","1","152"
"Mexico","1","Portugal","6","2","152"
"Uruguay","1","France","8","1","153"
"Portugal","2","Brazil","5","2","153"
"Croatia","1","Netherlands","8","1","154"
"Belgium","2","Italy","8","2","154"
"Switzerland","2","France","5","1","155"
"Brazil","3","Germany","7","2","155"
"Denmark","4","Algeria","7","1","156"
"Belgium","4","Argentina","5","2","156"
"Italy","1","Spain","5","1","157"
"Portugal","2","Denmark","8","2","157"
"Italy","2","Denmark","6","1","158"
"France","2","Belgium","7","2","158"
"Netherlands","1","France","7","1","159"
"Portugal","4","Colombia","6","2","159"
"Netherlands","3","Portugal","7","1","160"
"Brazil","1","Argentina","8","2","160"
"Switzerland","1","France","8","1","161"
"Netherlands","2","Brazil","8","2","161"
"Korea Republic","3","Belgium","8","1","162"
"Portugal","4","Iran","7","2","162"
"Colombia","4","Spain","8","1","163"
"Argentina","4","Belgium","7","2","163"
"Portugal","1","Belgium","6","1","164"
"France","1","Uruguay","7","2","164"
"Korea Republic","3","Portugal","7","1","165"
"Brazil","1","Germany","8","2","165"
"Denmark","3","Portugal","5","1","166"
"France","3","Brazil","6","2","166"
"Uruguay","4","Belgium","8","1","167"
"Spain","1","Denmark","7","2","167"
"Brazil","2","Portugal","6","1","168"
"Korea Republic","1","Australia","5","2","168"
"France","4","Iran","5","1","169"
"Belgium","1","Denmark","6","2","169"
"Spain","4","Uruguay","6","1","170"
"Germany","2","Colombia","8","2","170"
"Colombia","1","Argentina","6","1","171"
"France","2","Portugal","8","2","171"
"France","1","Croatia","6","1","172"
"Colombia","3","Brazil","5","2","172"
"Mexico","4","Brazil","8","1","173"
"Senegal","3","France","7","2","173"
"Germany","4","Italy","6","1","174"
"Netherlands","4","England","7","2","174"
"Uruguay","2","Wales","6","1","175"
"Croatia","2","France","7","2","175"
"Brazil","1","Portugal","5","1","176"
"Belgium","2","Spain","8","2","176"
"Croatia","1","Belgium","5","1","177"
"Netherlands","3","France","7","2","177"
"Uruguay","1","Spain","8","1","178"
"Italy","1","Morocco","8","2","178"
"Brazil","1","Algeria","6","1","179"
"Uruguay","4","Spain","6","2","179"
"Brazil","1","Croatia","6","1","180"
"Germany","3","Belgium","5","2","180"
"Netherlands","1","Germany","6","1","181"
"Mexico","1","France","5","2","181"
"Germany","2","England","8","1","182"
"France","2","Spain","6","2","182"
"Uruguay","4","Belgium","7","1","183"
"Mexico","4","Germany","8","2","183"
"Belgium","2","Netherlands","6","1","184"
"Korea Republic","3","Iran","8","2","184"
"Netherlands","4","Belgium","6","1","185"
"Brazil","4","Portugal","8","2","185"
"Denmark","4","Spain","5","1","186"
"Nigeria","1","Croatia","8","2","186"
"England","1","Netherlands","8","1","187"
"Chile","1","France","6","2","187"
"Uruguay","1","Belgium","5","1","188"
"France","3","Croatia","5","2","188"
"England","3","Argentina","8","1","189"
"France","4","Netherlands","8","2","189"
"Netherlands","4","Uruguay","5","1","190"
"Argentina","3","Mexico","5","2","190"
"Mexico","1","Spain","6","1","191"
"France","1","Croatia","7","2","191"
"Colombia","3","Brazil","7","1","192"
"Portugal","3","Croatia","5","2","192"
"Colombia","3","Belgium","8","1","193"
"Italy","2","Brazil","5","2","193"
"Croatia","3","Uruguay","6","1","194"
"United States","4","Portugal","7","2","194"
"France","1","Brazil","8","1","195"
"Belgium","2","Mexico","6","2","195"
"Argentina","1","Germany","5","1","196"
"Portugal","2","Italy","7","2","196"
"Germany","1","Brazil","8","1","197"
"Argentina","3","Netherlands","7","2","197"
"Senegal","1","Denmark","7","1","198"
"Italy","4","Portugal","7","2","198"
"Brazil","1","Spain","8","1","199"
"Belgium","3","Mexico","5","2","199"
"Mexico","4","Croatia","5","1","200"
"Spain","2","Denmark","7","2","200"
"Iran","2","Uruguay","5","1","201"
"Germany","4","Belgium","5","2","201"
"Colombia","3","Brazil","5","1","202"
"Belgium","1","Italy","7","2","202"
"Spain","2","Brazil","5","1","203"
"Uruguay","2","Belgium","7","2","203"
"Brazil","2","France","5","1","204"
"Croatia","4","Italy","8","2","204"
"England","4","Uruguay","6","1","205"
"France","4","Brazil","6","2","205"
"Italy","2","Netherlands","5","1","206"
"Uruguay","4","Croatia","5","2","206"
"Italy","1","France","8","1","207"
"Brazil","4","Belgium","7","2","207"
"England","1","Germany","7","1","208"
"Brazil","4","Spain","5","2","208"
"Brazil","1","England","8","1","209"
"Mexico","3","Argentina","8","2","209"
"Belgium","3","Spain","6","1","210"
"Mexico","1","Croatia","7","2","210"
"France","2","England","8","1","211"
"Brazil","2","Colombia","7","2","211"
"Spain","1","Belgium","6","1","212"
"France","1","Netherlands","6","2","212"
"Denmark","1","Senegal","7","1","213"
"Wales","2","Germany","7","2","213"
"Brazil","1","Netherlands","5","1","214"
"Argentina","4","Spain","6","2","214"
"Senegal","3","Belgium","8","1","215"
"Portugal","4","Uruguay","5","2","215"
"Netherlands","3","Germany","5","1","216"
"Argentina","2","Belgium","6","2","216"
"Argentina","4","Brazil","8","1","217"
"Mexico","1","Spain","7","2","217"
"Senegal","4","Argentina","6","1","218"
"Brazil","1","Italy","8","2","218"
"Senegal","2","Belgium","7","1","219"
"Brazil","3","Argentina","5","2","219"
"Poland","1","Japan","8","1","220"
"Italy","2","Mexico","5","2","220"
"France","1","Portugal","8","1","221"
"Croatia","2","England","8","2","221"
"Argentina","1","Netherlands","8","1","222"
"England","1","Spain","6","2","222"
"Algeria","3","Mexico","8","1","223"
"Brazil","1","Iran","7","2","223"
"Spain","3","Switzerland","8","1","224"
"Germany","2","Uruguay","5","2","224"
"Iran","2","Belgium","8","1","225"
"Brazil","4","Germany","5","2","225"
"Brazil","2","Spain","8","1","226"
"Argentina","1","Denmark","7","2","226"
"France","1","Brazil","5","1","227"
"Senegal","2","England","5","2","227"
"Poland","4","Brazil","6","1","228"
"Netherlands","1","Italy","7","2","228"
"Belgium","1","Netherlands","7","1","229"
"France","1","Spain","6","2","229"
"England","2","Croatia","5","1","230"
"Italy","1","Australia","5","2","230"
"Portugal","1","Brazil","7","1","231"
"Uruguay","3","Japan","5","2","231"
"Italy","4","Chile","8","1","232"
"Spain","4","France","7","2","232"
"Argentina","1","Portugal","8","1","233"
"Brazil","4","France","7","2","233"
"Uruguay","2","England","8","1","234"
"Belgium","4","Spain","7","2","234"
"Italy","1","Iran","5","1","235"
"Portugal","2","Japan","7","2","235"
"Colombia","1","Netherlands","5","1","236"
"France","1","England","5","2","236"
"Argentina","3","Netherlands","5","1","237"
"Italy","1","Uruguay","7","2","237"
"Chile","3","Iran","6","1","238"
"Mexico","1","Argentina","5","2","238"
"Netherlands","4","England","7","1","239"
"Portugal","3","Croatia","5","2","239"
"Iran","1","Argentina","8","1","240"
"England","4","Denmark","8","2","240"
"Colombia","3","Korea Republic","6","1","241"
"England","1","Argentina","7","2","241"
"Spain","2","Portugal","6","1","242"
"Netherlands","1","Australia","8","2","242"
"Uruguay","1","Argentina","8","1","243"
"Korea Republic","1","Spain","5","2","243"
"Denmark","2","Portugal","6","1","244"
"Brazil","1","Argentina","6","2","244"
"France","4","Tunisia","6","1","245"
"Switzerland","3","Mexico","8","2","245"
"France","2","Germany","7","1","246"
"Belgium","2","Netherlands","6","2","246"
"France","2","Belgium","6","1","247"
"Uruguay","4","Argentina","8","2","247"
"Italy","1","Spain","7","1","248"
"Germany","2","Denmark","7","2","248"
"France","4","Germany","6","1","249"
"Japan","4","Wales","5","2","249"
"Japan","1","Belgium","6","1","250"
"Iran","1","Portugal","8","2","250"
"Australia","1","Portugal","7","1","251"
"Spain","4","France","7","2","251"
"Senegal","1","Uruguay","7","1","252"
"Italy","2","Belgium","6","2","252"
"Netherlands","1","Belgium","5","1","253"
"Germany","3","Spain","8","2","253"
"Korea Republic","2","Portugal","8","1","254"
"Belgium","1","Colombia","8","2","254"
"Mexico","1","Italy","6","1","255"
"England","2","Morocco","8","2","255"
"France","3","Germany","8","1","256"
"Netherlands","1","Italy","7","2","256"
"Netherlands","4","Croatia","5","1","257"
"Italy","1","France","7","2","257"
"Mexico","4","Uruguay","5","1","258"
"Spain","4","Italy","6","2","258"
"Brazil","2","Italy","8","1","259"
"Spain","2","Japan","8","2","259"
"Germany","2","England","5","1","260"
"Brazil","1","Colombia","5","2","260"
"Qatar","1","Mexico","6","1","261"
"Belgium","1","Argentina","7","2","261"
"Argentina","2","England","6","1","262"
"Australia","1","Italy","5","2","262"
"Brazil","2","England","7","1","263"
"Belgium","4","Argentina","8","2","263"
"England","1","Chile","8","1","264"
"Japan","3","France","8","2","264"
"Croatia","3","Belgium","8","1","265"
"Portugal","4","Brazil","6","2","265"
"Mexico","1","England","6","1","266"
"Algeria","2","Portugal","7","2","266"
"Iran","3","Brazil","8","1","267"
"Netherlands","3","Switzerland","6","2","267"
"England","2","Mexico","6","1","268"
"Italy","2","Brazil","8","2","268"
"Netherlands","1","Belgium","6","1","269"
"Portugal","3","Spain","5","2","269"
"Brazil","2","Spain","8","1","270"
"France","1","Japan","5","2","270"
"Spain","2","Italy","6","1","271"
"Brazil","1","France","8","2","271"
"Netherlands","2","Portugal","6","1","272"
"France","1","Belgium","5","2","272"
"Iran","2","Uruguay","5","1","273"
"Brazil","3","England","8","2","273"
"France","3","Japan","5","1","274"
"Brazil","3","Portugal","8","2","274"
"Wales","4","Korea Republic","6","1","275"
"Senegal","2","Chile","6","2","275"
"Italy","2","England","8","1","276"
"Korea Republic","3","Spain","5","2","276"
"Spain","2","Denmark","8","1","277"
"Japan","3","Belgium","6","2","277"
"Iran","4","Switzerland","8","1","278"
"Spain","4","Belgium","7","2","278"
"Netherlands","1","Portugal","6","1","279"
"Morocco","2","Colombia","7","2","279"
"Italy","1","France","5","1","280"
"Uruguay","4","Brazil","5","2","280"
"Senegal","4","Japan","8","1","281"
"Spain","2","France","5","2","281"
"Argentina","4","Spain","5","1","282"
"Japan","1","England","5","2","282"
"Uruguay","3","England","7","1","283"
"Germany","2","Denmark","8","2","283"
"Uruguay","3","Croatia","8","1","284"
"Wales","1","Brazil","6","2","284"
"Mexico","2","England","8","1","285"
"Belgium","3","Iran","7","2","285"
"France","2","Spain","7","1","286"
"Iran","3","Portugal","7","2","286"
"Portugal","3","France","7","1","287"
"Netherlands","1","Spain","7","2","287"
"Chile","1","Australia","8","1","288"
"Spain","2","Croatia","5","2","288"
"Germany","4","Switzerland","5","1","289"
"Argentina","4","Spain","6","2","289"
"Iran","3","Uruguay","6","1","290"
"Germany","2","Wales","5","2","290"
"Portugal","3","Brazil","7","1","291"
"United States","2","Croatia","8","2","291"
"Belgium","4","Netherlands","6","1","292"
"Croatia","4","Colombia","6","2","292"
"Netherlands","1","Italy","7","1","293"
"Argentina","4","Spain","5","2","293"
"England","2","Germany","6","1","294"
"Portugal","4","France","5","2","294"
"Netherlands","2","Belgium","6","1","295"
"France","2","Argentina","6","2","295"
"Brazil","2","Portugal","6","1","296"
"Spain","4","Belgium","7","2","296"
"Switzerland","1","Germany","6","1","297"
"England","2","Colombia","6","2","297"
"Netherlands","2","England","6","1","298"
"Argentina","1","Belgium","6","2","298"
"Australia","3","Chile","6","1","299"
"Italy","2","Belgium","7","2","299"
"Brazil","1","Argentina","6","1","300"
"Uruguay","1","Portugal","5","2","300"
"Croatia","1","France","8","1","301"
"Senegal","4","Italy","5","2","301"
"United States","1","Costa Rica","7","1","302"
"Iran","1","Brazil","5","2","302"
"England","1","France","7","1","303"
"Uruguay","4","Netherlands","5","2","303"
"Croatia","1","Portugal","5","1","304"
"Germany","4","Spain","7","2","304"
"United States","3","Brazil","6","1","305"
"Belgium","1","Iran","8","2","305"
"Portugal","4","France","5","1","306"
"Germany","4","Croatia","7","2","306"
"France","4","Japan","5","1","307"
"Denmark","1","Belgium","6","2","307"
"Portugal","3","Belgium","8","1","308"
"Colombia","1","Croatia","7","2","308"
"Iran","2","Argentina","6","1","309"
"Spain","1","Brazil","7","2","309"
"Spain","1","Brazil","5","1","310"
"England","3","Tunisia","5","2","310"
"England","4","Spain","6","1","311"
"United States","2","Mexico","6","2","311"
"Brazil","1","Algeria","8","1","312"
"Belgium","3","Spain","5","2","312"
"Belgium","1","Italy","5","1","313"
"Netherlands","3","Portugal","6","2","313"
"Belgium","4","Mexico","7","1","314"
"Australia","1","England","7","2","314"
"Spain","2","Mexico","5","1","315"
"Australia","2","Portugal","8","2","315"
"Mexico","1","Chile","8","1","316"
"England","2","Spain","5","2","316"
"Colombia","4","Brazil","6","1","317"
"Croatia","1","England","5","2","317"
"Italy","2","Belgium","7","1","318"
"Algeria","4","Germany","6","2","318"
"Belgium","1","Spain","6","1","319"
"Portugal","3","France","8","2","319"
"Brazil","1","Denmark","6","1","320"
"Croatia","4","Chile","6","2","320"
"Senegal","1","Croatia","6","1","321"
"Colombia","4","Argentina","5","2","321"
"Argentina","4","Belgium","6","1","322"
"Chile","1","Italy","6","2","322"
"France","1","Germany","7","1","323"
"Italy","4","Brazil","5","2","323"
"Australia","2","Belgium","6","1","324"
"Germany","2","Argentina","6","2","324"
"Portugal","3","Belgium","7","1","325"
"France","3","Germany","6","2","325"
"France","1","England","5","1","326"
"Brazil","4","Switzerland","7","2","326"
"Spain","3","Argentina","7","1","327"
"Portugal","2","Brazil","5","2","327"
"Germany","4","England","5","1","328"
"Belgium","1","Nigeria","5","2","328"
"Netherlands","2","Brazil","5","1","329"
"France","1","Belgium","8","2","329"
"Spain","3","Uruguay","6","1","330"
"Poland","3","Switzerland","6","2","330"
"Denmark","4","Brazil","6","1","331"
"Argentina","4","Uruguay","8","2","331"
"Denmark","2","Mexico","5","1","332"
"Spain","4","France","8","2","332"
"Italy","1","Croatia","8","1","333"
"Costa Rica","4","Germany","7","2","333"
"Brazil","3","Belgium","5","1","334"
"Qatar","2","France","8","2","334"
"Germany","3","Croatia","8","1","335"
"Portugal","4","Belgium","7","2","335"
"Mexico","1","Italy","7","1","336"
"Spain","2","Belgium","7","2","336"
"France","2","Belgium","8","1","337"
"Algeria","3","Mexico","8","2","337"
"Qatar","3","Belgium","6","1","338"
"Algeria","1","Portugal","7","2","338"
"Colombia","1","Spain","7","1","339"
"France","1","Brazil","5","2","339"
"Uruguay","1","Netherlands","7","1","340"
"Brazil","3","Spain","7","2","340"
"France","4","Brazil","6","1","341"
"Argentina","3","Germany","5","2","341"
"England","4","Argentina","7","1","342"
"Croatia","4","Germany","5","2","342"
"Iran","1","France","5","1","343"
"Denmark","3","Netherlands","7","2","343"
"England","2","Brazil","5","1","344"
"Portugal","1","Denmark","5","2","344"
"Chile","1","France","6","1","345"
"Spain","3","Korea Republic","8","2","345"
"Italy","4","Brazil","8","1","346"
"Spain","3","Denmark","5","2","346"
"Colombia","4","Uruguay","8","1","347"
"France","1","Belgium","6","2","347"
"Uruguay","1","Spain","8","1","348"
"Brazil","1","England","7","2","348"
"Korea Republic","1","Italy","6","1","349"
"England","2","Brazil","6","2","349"
"Netherlands","1","France","7","1","350"
"Brazil","4","Switzerland","7","2","350"
"England","4","Brazil","6","1","351"
"Argentina","2","Spain","5","2","351"
"Colombia","1","Belgium","6","1","352"
"Portugal","3","Italy","8","2","352"
"Spain","3","Argentina","5","1","353"
"Belgium","3","Korea Republic","5","2","353"
"Japan","1","France","7","1","354"
"England","3","Uruguay","5","2","354"
"Wales","1","England","6","1","355"
"France","3","Germany","8","2","355"
"Germany","4","Brazil","8","1","356"
"England","4","Croatia","8","2","356"
"Belgium","2","Portugal","5","1","357"
"Mexico","3","Brazil","7","2","357"
"England","2","Mexico","5","1","358"
"Spain","4","Argentina","5","2","358"
"Spain","4","Italy","8","1","359"
"Portugal","2","Belgium","6","2","359"
"France","4","Portugal","7","1","360"
"Netherlands","1","Mexico","5","2","360"
"Netherlands","3","England","6","1","361"
"Portugal","4","Mexico","5","2","361"
"Korea Republic","4","Colombia","7","1","362"
"Brazil","1","Belgium","7","2","362"
"Mexico","1","Croatia","7","1","363"
"France","1","Spain","8","2","363"
"Wales","1","Portugal","5","1","364"
"Brazil","4","Colombia","8","2","364"
"Belgium","2","Portugal","5","1","365"
"United States","4","Brazil","8","2","365"
"Colombia","4","England","6","1","366"
"Brazil","1","Argentina","5","2","366"
"France","2","Colombia","7","1","367"
