"team","group_team","opp_team","group_opp_team","match_num_semi","simulation"
"Peru","1","England","7","2","123"
"France","1","Brazil","8","1","124"
"Argentina","1","Costa Rica","7","2","124"
"Croatia","2","England","6","1","125"
"Argentina","1","Brazil","7","2","125"
"Iran","1","Germany","8","1","126"
"Croatia","2","Sweden","6","2","126"
"Australia","1","Mexico","6","1","127"
"Spain","2","Germany","8","2","127"
"Spain","1","Brazil","8","1","128"
"Argentina","1","England","5","2","128"
"Uruguay","1","Panama","7","1","129"
"Iran","2","Germany","5","2","129"
"Australia","2","South Korea","6","1","130"
"Spain","2","Belgium","6","2","130"
"Croatia","2","Brazil","6","1","131"
"Argentina","1","Germany","8","2","131"
"Argentina","1","Brazil","8","1","132"
"Spain","2","Colombia","6","2","132"
"France","2","England","6","1","133"
"Argentina","1","Germany","7","2","133"
"Portugal","1","Brazil","8","1","134"
"Spain","2","England","5","2","134"
"Denmark","2","Colombia","5","1","135"
"Uruguay","1","Germany","8","2","135"
"France","1","Belgium","6","1","136"
"Spain","2","Germany","6","2","136"
"Croatia","1","Germany","6","1","137"
"Argentina","2","Costa Rica","7","2","137"
"Uruguay","1","Colombia","6","1","138"
"Spain","2","Belgium","6","2","138"
"France","2","Germany","8","1","139"
"Uruguay","1","Brazil","7","2","139"
"Russia","1","Belgium","6","1","140"
"Peru","1","Germany","5","2","140"
"France","1","Poland","5","1","141"
"Argentina","1","Belgium","6","2","141"
"Portugal","1","Belgium","5","1","142"
"Argentina","1","Germany","5","2","142"
"France","1","Colombia","5","1","143"
"Argentina","1","Brazil","7","2","143"
"France","1","Brazil","8","1","144"
"Uruguay","1","Germany","7","2","144"
"Uruguay","1","Japan","8","1","145"
"Croatia","2","Colombia","5","2","145"
"France","1","Poland","8","1","146"
"Spain","2","England","6","2","146"
"France","1","Mexico","6","1","147"
"Peru","1","Poland","5","2","147"
"Argentina","1","Brazil","8","1","148"
"Croatia","1","Senegal","8","2","148"
"Croatia","2","Costa Rica","8","1","149"
"Argentina","1","Brazil","8","2","149"
"Argentina","2","Sweden","6","1","150"
"Croatia","1","Germany","5","2","150"
"Uruguay","1","South Korea","6","1","151"
"France","2","Serbia","6","2","151"
"Argentina","1","Brazil","6","1","152"
"Peru","1","Germany","6","2","152"
"Argentina","1","England","7","1","153"
"France","1","Serbia","6","2","153"
"Spain","2","Germany","8","1","154"
"Argentina","2","Mexico","8","2","154"
"France","1","Belgium","6","1","155"
"Peru","2","Germany","6","2","155"
"Croatia","1","Brazil","8","1","156"
"Spain","2","Japan","7","2","156"
"Spain","2","Poland","6","1","157"
"Iran","3","Brazil","7","2","157"
"France","2","Brazil","7","1","158"
"Argentina","1","Belgium","6","2","158"
"Argentina","1","England","6","1","159"
"Croatia","1","Colombia","6","2","159"
"Argentina","1","Belgium","6","1","160"
"Nigeria","1","Panama","8","2","160"
"France","2","Germany","5","1","161"
"Spain","1","Poland","6","2","161"
"Croatia","1","Brazil","8","1","162"
"Argentina","2","Colombia","5","2","162"
"Portugal","1","Brazil","8","1","163"
"Croatia","2","South Korea","6","2","163"
"France","2","Colombia","6","1","164"
"Portugal","1","Belgium","6","2","164"
"France","1","Brazil","7","1","165"
"Russia","1","Switzerland","5","2","165"
"France","1","Brazil","8","1","166"
"Argentina","2","Germany","5","2","166"
"Iceland","1","Brazil","7","1","167"
"Spain","2","Mexico","6","2","167"
"Portugal","1","Belgium","5","1","168"
"Argentina","1","Brazil","7","2","168"
"France","3","Brazil","8","1","169"
"Spain","1","Germany","8","2","169"
"France","1","Poland","8","1","170"
"Argentina","2","Belgium","6","2","170"
"Spain","2","Brazil","6","1","171"
"Uruguay","1","Poland","8","2","171"
"Spain","2","Mexico","7","1","172"
"Argentina","2","Sweden","6","2","172"
"Portugal","1","Belgium","6","1","173"
"Australia","2","England","6","2","173"
"Croatia","2","Mexico","5","1","174"
"Argentina","1","Germany","7","2","174"
"Argentina","1","England","7","1","175"
"Peru","1","Brazil","8","2","175"
"Russia","1","England","6","1","176"
"Argentina","1","Belgium","5","2","176"
"Argentina","1","Poland","6","1","177"
"Portugal","1","Colombia","5","2","177"
"France","4","South Korea","6","1","178"
"Uruguay","1","Belgium","5","2","178"
"France","4","Brazil","7","1","179"
"Peru","1","Mexico","5","2","179"
"Argentina","1","Japan","7","1","180"
"Peru","2","Colombia","5","2","180"
"Peru","3","Brazil","8","1","181"
"Portugal","1","Germany","7","2","181"
"Uruguay","1","England","6","1","182"
"Argentina","2","Germany","6","2","182"
"France","2","Costa Rica","7","1","183"
"Spain","2","Senegal","6","2","183"
"Iran","1","Poland","6","1","184"
"Peru","2","South Korea","5","2","184"
"France","1","Poland","8","1","185"
"Portugal","1","Switzerland","5","2","185"
"Iran","3","Japan","5","1","186"
"Portugal","1","Germany","5","2","186"
"Uruguay","1","Brazil","8","1","187"
"France","3","Germany","6","2","187"
"France","2","Germany","8","1","188"
"Argentina","1","England","6","2","188"
"Spain","2","England","5","1","189"
"Uruguay","1","Brazil","6","2","189"
"France","1","Brazil","8","1","190"
"Croatia","2","England","6","2","190"
"Iran","1","England","6","1","191"
"Argentina","1","Germany","6","2","191"
"Croatia","1","Sweden","6","1","192"
"Spain","2","Brazil","8","2","192"
"Spain","1","Colombia","6","1","193"
"Argentina","1","Germany","8","2","193"
"Argentina","1","Colombia","6","1","194"
"Spain","2","Japan","6","2","194"
"Uruguay","1","Brazil","7","1","195"
"Spain","2","England","6","2","195"
"Spain","1","Poland","7","1","196"
"Portugal","2","Belgium","6","2","196"
"Argentina","2","Japan","8","1","197"
"Portugal","1","Brazil","6","2","197"
"Iceland","1","Germany","6","1","198"
"Peru","3","South Korea","6","2","198"
"Spain","1","Switzerland","5","1","199"
"France","1","England","6","2","199"
"Uruguay","1","Brazil","8","1","200"
"Argentina","1","Costa Rica","7","2","200"
"Portugal","1","Poland","6","1","201"
"Spain","2","Colombia","7","2","201"
"Portugal","1","Brazil","8","1","202"
"Argentina","2","Germany","8","2","202"
"Croatia","1","England","6","1","203"
"Argentina","2","Belgium","5","2","203"
"Uruguay","1","Germany","6","1","204"
"Argentina","2","Switzerland","5","2","204"
"Uruguay","1","England","8","1","205"
"Argentina","2","Tunisia","7","2","205"
"Croatia","1","England","6","1","206"
"Portugal","1","Poland","8","2","206"
"Argentina","1","Belgium","6","1","207"
"Iran","1","England","5","2","207"
"Iran","1","Brazil","6","1","208"
"Spain","2","Costa Rica","7","2","208"
"Spain","2","England","8","1","209"
"Argentina","1","Germany","6","2","209"
"Croatia","2","Belgium","6","1","210"
"Argentina","1","Poland","5","2","210"
"Iceland","1","Brazil","8","1","211"
"Argentina","2","Germany","6","2","211"
"Spain","1","England","5","1","212"
"Argentina","2","South Korea","6","2","212"
"Spain","2","Brazil","6","1","213"
"Portugal","2","England","6","2","213"
"France","1","Colombia","5","1","214"
"Saudi Arabia","1","Brazil","8","2","214"
"Spain","2","Colombia","5","1","215"
"Argentina","1","Brazil","7","2","215"
"Iceland","1","Brazil","8","1","216"
"Argentina","1","Japan","7","2","216"
"Uruguay","1","Brazil","7","1","217"
"Peru","2","Mexico","6","2","217"
"Uruguay","1","Germany","5","1","218"
"Portugal","1","Colombia","5","2","218"
"Croatia","1","Poland","8","1","219"
"Spain","1","Germany","5","2","219"
"France","1","Brazil","6","1","220"
"Argentina","1","England","5","2","220"
"Iran","3","Poland","5","1","221"
"Croatia","1","Colombia","5","2","221"
"Argentina","1","Brazil","8","1","222"
"Portugal","2","Germany","5","2","222"
"Uruguay","1","Japan","6","1","223"
"Peru","1","England","5","2","223"
"Croatia","1","England","8","1","224"
"Spain","2","Germany","5","2","224"
"Spain","2","South Korea","6","1","225"
"Argentina","1","Colombia","6","2","225"
"Croatia","1","Germany","6","1","226"
"Portugal","2","Brazil","7","2","226"
"Spain","2","Belgium","6","1","227"
"Argentina","1","Mexico","6","2","227"
"France","1","Brazil","8","1","228"
"Denmark","1","Germany","5","2","228"
"Iceland","2","Brazil","7","1","229"
"Iran","1","Poland","6","2","229"
"Peru","1","Brazil","7","1","230"
"Croatia","1","Switzerland","5","2","230"
"Iceland","2","Brazil","6","1","231"
"Denmark","2","Panama","5","2","231"
"France","1","England","6","1","232"
"Portugal","1","Belgium","6","2","232"
"Uruguay","1","Mexico","6","1","233"
"Iran","1","Germany","7","2","233"
"France","1","England","5","1","234"
"Argentina","1","Belgium","6","2","234"
"Iran","1","South Korea","6","1","235"
"Portugal","1","Germany","7","2","235"
"Iran","2","Switzerland","5","1","236"
"Iceland","2","Belgium","6","2","236"
"Peru","3","Brazil","8","1","237"
"Saudi Arabia","1","England","5","2","237"
"Spain","2","Brazil","7","1","238"
"France","1","Belgium","5","2","238"
"Argentina","1","England","6","1","239"
"France","1","Germany","8","2","239"
"Portugal","1","Colombia","6","1","240"
"Argentina","1","Germany","7","2","240"
"Spain","2","Sweden","6","1","241"
"Argentina","1","Germany","8","2","241"
"Saudi Arabia","1","Poland","8","1","242"
"France","2","Colombia","5","2","242"
"Uruguay","1","Germany","8","1","243"
"Portugal","1","Switzerland","5","2","243"
"France","2","Brazil","6","1","244"
"Portugal","2","Serbia","6","2","244"
"France","1","Brazil","8","1","245"
"Portugal","2","Switzerland","5","2","245"
"Saudi Arabia","1","Brazil","6","1","246"
"Argentina","1","Switzerland","5","2","246"
"Portugal","1","Poland","5","1","247"
"Egypt","3","Belgium","6","2","247"
"Croatia","1","England","6","1","248"
"Spain","2","Brazil","6","2","248"
"France","1","Brazil","7","1","249"
"Iran","2","Switzerland","5","2","249"
"France","1","Brazil","7","1","250"
"Argentina","1","Poland","5","2","250"
"France","1","Japan","8","1","251"
"Argentina","2","South Korea","6","2","251"
"Uruguay","1","South Korea","6","1","252"
"Argentina","2","Poland","8","2","252"
"Spain","1","Brazil","8","1","253"
"Portugal","2","Belgium","6","2","253"
"Portugal","1","England","8","1","254"
"Spain","2","Belgium","6","2","254"
"Nigeria","1","England","8","1","255"
"Argentina","2","Costa Rica","6","2","255"
"Portugal","2","England","8","1","256"
"Iran","1","Germany","7","2","256"
"Uruguay","1","Poland","8","1","257"
"Russia","1","Colombia","6","2","257"
"Peru","1","Belgium","6","1","258"
"France","2","Germany","5","2","258"
"Peru","3","Sweden","6","1","259"
"Spain","2","Germany","8","2","259"
"France","4","Germany","5","1","260"
"Argentina","1","Brazil","8","2","260"
"France","1","Germany","6","1","261"
"Argentina","1","Japan","5","2","261"
"France","1","Japan","8","1","262"
"Russia","1","Colombia","7","2","262"
"Portugal","1","Brazil","8","1","263"
"Spain","2","Mexico","8","2","263"
"Croatia","1","South Korea","6","1","264"
"Iran","1","Tunisia","7","2","264"
"Iran","1","Germany","6","1","265"
"Spain","2","Costa Rica","6","2","265"
"Portugal","2","Colombia","6","1","266"
"Croatia","1","Germany","7","2","266"
"Iceland","1","Switzerland","5","1","267"
"Argentina","1","Colombia","6","2","267"
"Argentina","1","Senegal","8","1","268"
"Spain","2","Colombia","8","2","268"
"Croatia","1","Brazil","8","1","269"
"Argentina","1","Colombia","6","2","269"
"Argentina","1","England","8","1","270"
"Russia","2","Germany","6","2","270"
"Iran","1","South Korea","6","1","271"
"France","2","England","5","2","271"
"Iran","3","Brazil","8","1","272"
"Argentina","2","Germany","8","2","272"
"Croatia","2","Brazil","8","1","273"
"Egypt","2","Serbia","5","2","273"
"Portugal","1","Brazil","8","1","274"
"Peru","2","Mexico","6","2","274"
"Portugal","1","Mexico","8","1","275"
"Spain","2","Germany","6","2","275"
"Uruguay","1","Brazil","7","1","276"
"Argentina","2","Mexico","8","2","276"
"Morocco","1","Germany","6","1","277"
"Spain","2","Switzerland","5","2","277"
"Russia","1","South Korea","6","1","278"
"Croatia","2","Switzerland","5","2","278"
"France","1","England","6","1","279"
"Iran","4","Belgium","6","2","279"
"Uruguay","1","Germany","6","1","280"
"Spain","2","Senegal","8","2","280"
"Argentina","1","Germany","5","1","281"
"Iran","1","South Korea","6","2","281"
"France","1","England","6","1","282"
"Egypt","3","Germany","5","2","282"
"Iran","1","Colombia","5","1","283"
"Argentina","1","Japan","7","2","283"
"Croatia","2","Poland","8","1","284"
"Portugal","1","Germany","6","2","284"
"Uruguay","1","Colombia","7","1","285"
"Croatia","2","Germany","6","2","285"
"Portugal","1","Brazil","7","1","286"
"Spain","2","Costa Rica","8","2","286"
"Portugal","1","England","8","1","287"
"Spain","2","Mexico","6","2","287"
"Russia","1","Mexico","5","1","288"
"Denmark","1","Poland","8","2","288"
"Portugal","1","England","8","1","289"
"Croatia","1","Belgium","6","2","289"
"Iran","3","Costa Rica","6","1","290"
"Argentina","2","Brazil","7","2","290"
"Argentina","1","South Korea","6","1","291"
"France","2","England","8","2","291"
"Iceland","2","Mexico","6","1","292"
"France","1","Costa Rica","8","2","292"
"Croatia","2","Brazil","7","1","293"
"Australia","1","Poland","8","2","293"
"Portugal","2","Brazil","8","1","294"
"Spain","1","Switzerland","5","2","294"
"Peru","1","Brazil","8","1","295"
"France","2","Colombia","6","2","295"
"France","1","Colombia","6","1","296"
"Portugal","2","Poland","5","2","296"
"Croatia","1","Brazil","8","1","297"
"Spain","2","England","6","2","297"
"Uruguay","1","Poland","8","1","298"
"Peru","1","Germany","5","2","298"
"France","1","Japan","6","1","299"
"Egypt","2","Senegal","8","2","299"
"France","1","Japan","6","1","300"
"Argentina","1","Sweden","6","2","300"
"Spain","1","Germany","8","1","301"
"Portugal","1","Belgium","5","2","301"
"Croatia","1","Brazil","6","1","302"
"Australia","1","Japan","8","2","302"
"Spain","1","South Korea","6","1","303"
"France","1","England","5","2","303"
"Uruguay","1","England","5","1","304"
"Peru","2","South Korea","6","2","304"
"France","2","Brazil","7","1","305"
"Argentina","2","Costa Rica","8","2","305"
"Peru","1","Senegal","7","1","306"
"Australia","1","Colombia","6","2","306"
"Russia","1","Germany","8","1","307"
"France","2","Poland","5","2","307"
"Uruguay","1","Brazil","8","1","308"
"Argentina","2","England","8","2","308"
"France","1","South Korea","6","1","309"
"Croatia","1","Germany","5","2","309"
"Portugal","1","Brazil","8","1","310"
"Argentina","2","Colombia","5","2","310"
"Australia","2","South Korea","6","1","311"
"Spain","2","Germany","6","2","311"
"France","1","South Korea","6","1","312"
"Spain","1","Mexico","5","2","312"
"Portugal","1","England","8","1","313"
"France","1","Germany","5","2","313"
"Portugal","1","Brazil","8","1","314"
"Spain","2","Belgium","5","2","314"
"Iran","4","Germany","8","1","315"
"Argentina","1","South Korea","6","2","315"
"France","1","Senegal","6","1","316"
"Argentina","2","England","5","2","316"
"Portugal","1","Belgium","5","1","317"
"Spain","1","Germany","8","2","317"
"France","1","Brazil","8","1","318"
"Argentina","2","Colombia","6","2","318"
"Spain","1","Brazil","8","1","319"
"Iran","2","Mexico","5","2","319"
"Spain","1","England","5","1","320"
"France","1","Panama","7","2","320"
"France","1","Brazil","7","1","321"
"Spain","2","Belgium","6","2","321"
"France","2","Sweden","6","1","322"
"Uruguay","1","England","8","2","322"
"Croatia","1","Brazil","7","1","323"
"Saudi Arabia","2","Switzerland","5","2","323"
"Russia","1","Germany","6","1","324"
"Croatia","2","South Korea","5","2","324"
"France","1","Brazil","8","1","325"
"Iceland","3","Belgium","5","2","325"
"France","1","Japan","8","1","326"
"Croatia","2","Costa Rica","7","2","326"
"Uruguay","1","Brazil","6","1","327"
"Spain","2","England","5","2","327"
"Portugal","1","Germany","5","1","328"
"Argentina","1","Brazil","8","2","328"
"France","1","Belgium","6","1","329"
"Peru","2","England","5","2","329"
"Argentina","1","Brazil","7","1","330"
"Russia","2","Belgium","5","2","330"
"France","1","England","7","1","331"
"Argentina","1","Belgium","5","2","331"
"Russia","1","Poland","6","1","332"
"Argentina","1","Germany","5","2","332"
"Croatia","1","England","6","1","333"
"Argentina","2","Brazil","8","2","333"
"France","1","Brazil","8","1","334"
"Argentina","2","Belgium","6","2","334"
"Iran","1","Brazil","6","1","335"
"France","1","Senegal","8","2","335"
"Argentina","2","Brazil","8","1","336"
"France","1","Poland","5","2","336"
"Croatia","1","Brazil","8","1","337"
"Argentina","1","South Korea","6","2","337"
"France","1","Brazil","7","1","338"
"Spain","2","Belgium","5","2","338"
"France","1","Brazil","7","1","339"
"Spain","2","South Korea","6","2","339"
"Iran","1","South Korea","6","1","340"
"Russia","2","Germany","7","2","340"
"Spain","2","Colombia","6","1","341"
"Iran","2","England","6","2","341"
"Spain","2","South Korea","6","1","342"
"Egypt","2","England","7","2","342"
"Uruguay","1","Colombia","6","1","343"
"Spain","2","Japan","7","2","343"
"Nigeria","4","Mexico","6","1","344"
"Spain","2","Colombia","6","2","344"
"Spain","2","Brazil","7","1","345"
"Argentina","1","Colombia","6","2","345"
"Croatia","2","Japan","6","1","346"
"France","1","Brazil","6","2","346"
"Egypt","2","Mexico","6","1","347"
"Iran","3","Colombia","5","2","347"
"Uruguay","1","South Korea","6","1","348"
"Argentina","2","Brazil","7","2","348"
"Nigeria","1","England","8","1","349"
"Egypt","2","South Korea","6","2","349"
"Argentina","1","Belgium","5","1","350"
"Spain","2","Germany","6","2","350"
"Portugal","1","South Korea","6","1","351"
"Argentina","2","Germany","8","2","351"
"Russia","2","Brazil","7","1","352"
"Uruguay","1","Germany","6","2","352"
"Portugal","2","England","8","1","353"
"Spain","2","Germany","6","2","353"
"Russia","1","Germany","7","1","354"
"Croatia","2","Switzerland","5","2","354"
"Iran","1","Brazil","8","1","355"
"Portugal","2","Japan","5","2","355"
"Spain","2","Brazil","7","1","356"
"Argentina","2","Mexico","5","2","356"
"Uruguay","1","Brazil","8","1","357"
"Australia","1","Japan","6","2","357"
"Spain","1","Brazil","8","1","358"
"Argentina","1","Poland","8","2","358"
"Portugal","1","Belgium","6","1","359"
"France","3","Colombia","6","2","359"
"France","1","England","5","1","360"
"Argentina","2","Germany","8","2","360"
"Argentina","2","Brazil","6","1","361"
"Croatia","1","Colombia","5","2","361"
"Russia","1","Costa Rica","8","1","362"
"Portugal","2","Germany","7","2","362"
"France","1","Brazil","8","1","363"
"Portugal","1","Germany","7","2","363"
"Argentina","1","South Korea","6","1","364"
"Spain","2","Costa Rica","6","2","364"
"Croatia","1","Switzerland","5","1","365"
"Portugal","1","England","7","2","365"
"Portugal","1","Brazil","7","1","366"
"Argentina","1","Germany","5","2","366"
"France","1","Mexico","5","1","367"
"Argentina","2","Colombia","6","2","367"
"Iceland","1","England","7","1","368"
